ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,CITY,DISTRICT,STATE
UTIB0000560,AXIS BANK LTD,UTIB0000560,560211018,PEENYA,BANGALORE,BANGALORE URBAN ,KARNATAKA
UTIB0000561,AXIS BANK LTD,UTIB0000561,560211019,SAHAKARANAGAR,BANGALORE,BANGALORE URBAN ,KARNATAKA
UTIB0000562,AXIS BANK LTD,UTIB0000562,682211004,WILLINGDON ISLAND,KOCHI,ERNAKULAM,KERALA
UTIB0000563,AXIS BANK LTD,UTIB0000563,641211004,R S PURAM,COIMBATORE,COIMBOTORE ,TAMIL NADU
UTIB0000564,AXIS BANK LTD,UTIB0000564,NON-MICR,THANJAVUR,THANJAVUR,THANJAVUR,TAMIL NADU
UTIB0000565,AXIS BANK LTD,UTIB0000565,390211005,MANJALPUR,VADODARA,VADODARA,GUJARAT
UTIB0000566,AXIS BANK LTD,UTIB0000566,395211004,ADAJAN,SURAT,SURAT,GUJARAT
UTIB0000567,AXIS BANK LTD,UTIB0000567,390211006,SAYAJIGUNJ,VADODARA,VADODARA,GUJARAT
UTIB0000568,AXIS BANK LTD,UTIB0000568,452211004,VIJAYANAGAR ,INDORE,INDORE,MADHYA PRADESH
UTIB0000569,AXIS BANK LTD,UTIB0000569,462211004,KOH-E-FIZA,BHOPAL,BHOPAL,MADHYA PRADESH
UTIB0000570,AXIS BANK LTD,UTIB0000570,452211005,ANNAPOORNA,INDORE,INDORE,MADHYA PRADESH
UTIB0000571,AXIS BANK LTD,UTIB0000571,400211045,HIRANANDANI ESTATE,MUMBAI,THANE,MAHARASHTRA
UTIB0000572,AXIS BANK LTD,UTIB0000572,400211046,THAKUR VILLAGE,MUMBAI,GREATER MUMBAI,MAHARASHTRA
UTIB0000573,AXIS BANK LTD,UTIB0000573,400211047,MIRA ROAD,MUMBAI,THANE,MAHARASHTRA
UTIB0000574,AXIS BANK LTD,UTIB0000574,400211048,KALYAN WEST,MUMBAI,THANE,MAHARASHTRA
UTIB0000575,AXIS BANK LTD,UTIB0000575,400211049,BHAYANDER EAST,MUMBAI,THANE,MAHARASHTRA
UTIB0000576,AXIS BANK LTD,UTIB0000576,NON-MICR,BHIWADI,BHIWADI,ALWAR,RAJASTHAN
UTIB0000577,AXIS BANK LTD,UTIB0000577,NON-MICR,KOTKAPURA,KOTKAPURA,FARIDKOT,PUNJAB
UTIB0000578,AXIS BANK LTD,UTIB0000578,NON-MICR,NAKODAR,NAKODAR,JALANDHAR,PUNJAB
UTIB0000579,AXIS BANK LTD,UTIB0000579,NON-MICR,KUVEMPUNAGAR (MYSORE),MYSORE,MYSORE,KARNATAKA
UTIB0000580,AXIS BANK LTD,UTIB0000580,NON-MICR,"BAGNAN, WEST BENGAL",BAGNAN,HOWRAH,WEST BENGAL
UTIB0000581,AXIS BANK LTD,UTIB0000581,NON-MICR,"YAMUNANAGAR, HARYANA",YAMUNANAGAR,YAMUNANAGAR,HARYANA
UTIB0000582,AXIS BANK LTD,UTIB0000582,NON-MICR,BANSWARA (RAJASTHAN),BANSWARA,BANSWARA,RAJASTHAN
UTIB0000583,AXIS BANK LTD,UTIB0000583,NON-MICR,BUNDI (RAJASTHAN),BUNDI,BUNDI,RAJASTHAN
UTIB0000584,AXIS BANK LTD,UTIB0000584,NON-MICR,TALLI HALDWANI,HALDWANI,NAINITAL,UTTARAKHAND
