ID,BANKNAME,IFSC_CODE,MICR,BRANCH,POSTAL ADDRESS,CONTACT,CENTRE,DISTRICT,STATE
TDCB0000011,The Thane District Central Co-Op Bank Ltd,TDCB0000011,400524046,DUGADPHATA,"AT-DUGAD FATA,POST-DUGAD, TALUKA-BHIWANDI, PIN-421302",02522-288550,BHIWANDI,THANE,MAHARASHTRA
TDCB0000012,The Thane District Central Co-Op Bank Ltd,TDCB0000012,400524049,PADGHA,"WED APARTMENT,FIRST FLOOR,OPP LAXMI-NARAYAN BLDG,PADGHA-BHIWANDI RD AT & POST :PADGHA TAL:BHIWANDI DIST:THANE 421101",02522-268278,PADGHA,THANE,MAHARASHTRA
TDCB0000013,The Thane District Central Co-Op Bank Ltd,TDCB0000013,400524031,PURNA,"KONDU PATIL BUILDING, PURNESHWAR MANDIR ROAD, POST-KALHER, TALUKA -BHIWANDI, PIN-401302",02522-271800,BHIWANDI,THANE,MAHARASHTRA
TDCB0000014,The Thane District Central Co-Op Bank Ltd,TDCB0000014,,VAJRESHWARI,"CLASSIC ENTERPRIZES ,FIRST FLOOR,VASAI-AMBADI ROAD,AT& POST:VAJRESHWARI ,TAL:BHIWANDI.DIST THANE PIN:401204",02522-261235,GANESHPURI,THANE,MAHARASHTRA
TDCB0000015,The Thane District Central Co-Op Bank Ltd,TDCB0000015,400524030,KON,"AT & POST-KON, TALUKA-BHIWANDI, PIN-421311",02522-280575,BHIWANDI,THANE,MAHARASHTRA
TDCB0000016,The Thane District Central Co-Op Bank Ltd,TDCB0000016,400524034,KHARBAV,"AT & POST-KHARBAV, TALUKA-BHIWANDI, PIN-421302",02522-264310,BHIWANDI,THANE,MAHARASHTRA
TDCB0000021,The Thane District Central Co-Op Bank Ltd,TDCB0000021,,KASA,"AT & POST-KASA, NEAR R.H.HOSPITAL, POST-KASA, TALUKA-DAHANU, PIN-401607",02528-264032,DAHANU,THANE,MAHARASHTRA
TDCB0000026,The Thane District Central Co-Op Bank Ltd,TDCB0000026,400524025,MANDA-TITWALA,"GANPATI MANDIR ROAD, SIDHRAJ APPT. MANDA-TITWALA(E),TAL.KALYAN  PIN CODE-421 605.",0251-2381203,KALYAN,THANE,MAHARASHTRA
TDCB0000027,The Thane District Central Co-Op Bank Ltd,TDCB0000027,400524017,DOMBIVALI (W),"M.G.ROAD,OM TRIMURTI BLDG, VISHNUNAGAR, TAL.KALYAN  PIN CODE-421 202.",0251-2485979,DOMBIVLI,THANE,MAHARASHTRA
TDCB0000028,The Thane District Central Co-Op Bank Ltd,TDCB0000028,400524018,DOMBIVALI ( E ),"SHIVAJI UDYOG NAGAR, MANPADA ROAD,DOMBIVALI,  TAL.KALYAN, PIN CODE-421 201.",0251-2448561,DOMBIVLI,THANE,MAHARASHTRA
TDCB0000032,The Thane District Central Co-Op Bank Ltd,TDCB0000032,400524010,RAM MARUTI ROAD,"SHRUSTI PRIDE CHS LTD, FLAT NO. 102,RAM MARUTI ROAD, THANE (WEST) PIN CODE-400 602.",022-25402272,THANE,THANE,MAHARASHTRA
TDCB0000033,The Thane District Central Co-Op Bank Ltd,TDCB0000033,400524009,THANE TOWN,"CHHATRAPATI SHIVAJI PATH, P.O.NO.19, THANE (W) PIN CODE-400 601.",022-25363042,THANE,THANE,MAHARASHTRA
TDCB0000034,The Thane District Central Co-Op Bank Ltd,TDCB0000034,400524007,BHAYANDER,"SAHKAR JYOT, CROSS CORNER, 1ST FLOOR, NEAR MIRA – BHAYANDAR MAHANAGAR PALIKA, BHAYANDAR (W)",022-8192529,MIRA-BHAYANDAR,THANE,MAHARASHTRA
TDCB0000035,The Thane District Central Co-Op Bank Ltd,TDCB0000035,400524014,GHANSOLI,"OPP.NAVI MUMBAI MAHANAGAR PALIKA SCHOOL NO.31, PRABHAKAR PATIL CHAWL, THANE BELAPUR ROAD, GHANSOLI, PIN-400701",022-27692324,THANE,THANE,MAHARASHTRA
TDCB0000036,The Thane District Central Co-Op Bank Ltd,TDCB0000036,400524016,MUMBRA,"OPP.MUMBRA POLICE STATION, AT & POST MUMBRA.  PIN CODE-400 612",022-25462026,THANE,THANE,MAHARASHTRA
TDCB0000037,The Thane District Central Co-Op Bank Ltd,TDCB0000037,400524015,TURBHE,"APMC FRUIT MARKET, CENTRAL FACILITIES BUILDING., GROUND FLOOR, SECTOR – 19, TURBHE,NAVI MUMBAI, PIN-400705",022-27832511,THANE,THANE,MAHARASHTRA
TDCB0000038,The Thane District Central Co-Op Bank Ltd,TDCB0000038,400524011,WAGLE ESTATE,"DHYAN HOUSE BUILDING, SHIVAJI NAGAR ROAD NO.3,WAGLE ESTATE, PIN CODE-400 604.",022-400604,THANE,THANE,MAHARASHTRA
TDCB0000039,The Thane District Central Co-Op Bank Ltd,TDCB0000039,400524013,KALWA,"BHARTI CHEMBER, OLD BELAPUR ROAD, KALWA  PIN CODE-400 605.",022-25347314,THANE,THANE,MAHARASHTRA
TDCB0000040,The Thane District Central Co-Op Bank Ltd,TDCB0000040,400524012,KOPRI COLONY,"SAI TIRTH BUILDING, OFFICE NO. 1/12,  1ST FLOOR, B,WING, SIDDHARTH NAGAR,  KOPARI, THANE-E, PIN-400603",022-25320527,THANE,THANE,MAHARASHTRA
TDCB0000041,The Thane District Central Co-Op Bank Ltd,TDCB0000041,400524008,UTTAN,"SAGAR DARSHAN, UTTAN PALI ROAD, AT. POST.,UTTAN, PIN -401 106.",022-28450116,MIRA-BHAYANDAR,THANE,MAHARASHTRA
TDCB0000042,The Thane District Central Co-Op Bank Ltd,TDCB0000042,400524021,ULHASNAGAR - 4,"O T SECTION OPP.MALERIYA OFFICE ULHASNAGAR-4,DIST-THANE. PIN -421 004.",022-2581232,ULHASNAGAR,THANE,MAHARASHTRA
TDCB0000043,The Thane District Central Co-Op Bank Ltd,TDCB0000043,400524024,KULGAON,"SHIV TIRTH, NEAR RAILWAY STAION, TAL-AMBARNATH, PIN -421 503.",0251-2690045,ULHASNAGAR,THANE,MAHARASHTRA
TDCB0000044,The Thane District Central Co-Op Bank Ltd,TDCB0000044,400524023,AMBERNATH,"SAI DATTA BUILDING  SURYODAY CHS.PLOT NO. – 10,  NEAR STATE BANK, AMBARNATH ( EAST )  PIN-421 501.",0251-2602050,ULHASNAGAR,THANE,MAHARASHTRA
TDCB0000045,The Thane District Central Co-Op Bank Ltd,TDCB0000045,400524022,ULHASNAGAR-3,"SHRI RAM NIWAS KALYAN AMBERNATH ROAD, ULHASNAGAR-3, PIN CODE-421 003.",0251-2734229,ULHASNAGAR,THANE,MAHARASHTRA
TDCB0000052,The Thane District Central Co-Op Bank Ltd,TDCB0000052,400524039,SAFALA,"GRAMPANCHAYAT BUILDING, AT- SAFALA-EAST, TALUKA-PALGHAR,      PIN-401 102.",02525-230160,PALGHAR,THANE,MAHARASHTRA
TDCB0000061,The Thane District Central Co-Op Bank Ltd,TDCB0000061,400524041,WASHIND,"OPP.KHATIVALI VASIND SEVA STY AT & POST-VASIND,TALUKA-SHAHAPUR DIST.THANE. PIN-421604",02527-220046,WASHIND,THANE,MAHARASHTRA
TDCB0000062,The Thane District Central Co-Op Bank Ltd,TDCB0000062,,SHENVA,"SHENAVA NAKA, KINHAVALI SHAHAPUR ROAD, AT & POST-SHENVA, TALUKA-SHAHAPUR,        PIN-421 601",02527-230088,SHAHAPUR,THANE,MAHARASHTRA
TDCB0000074,The Thane District Central Co-Op Bank Ltd,TDCB0000074,400524027,DHAMANKARNAKA,"31, DHAMANKAR PALACE BLDG. 1ST FLOOR, DHAMANKAR NAKA,TALUKA-BHIWANDI, PIN-421 302",02522-255387,BHIWANDI,THANE,MAHARASHTRA
TDCB0000075,The Thane District Central Co-Op Bank Ltd,TDCB0000075,400524020,KOLSEWADI (KALYAN),"OM SHRADHA TOWER, TISGAON NAKA, KALYAN (EAST),DIST-THANE. PIN CODE-421 302.",0251-2357694,KALYAN,THANE,MAHARASHTRA
TDCB0000077,The Thane District Central Co-Op Bank Ltd,TDCB0000077,,TOKAWADE,"AT & POST-TOKAWADE,TALUKA-MURBAD, DIST.THANE. PIN-421 402.",02524-2420580,MURBAD,THANE,MAHARASHTRA
TDCB0000079,The Thane District Central Co-Op Bank Ltd,TDCB0000079,400524032,RAMBAUG (KALYAN),"SHREYA PALACE, RAMBAUG LANE  4, KALYAN (W.) TALUKA-KALYAN,           PIN- 421301",0251-2210185,KALYAN,THANE,MAHARASHTRA
TDCB0000080,The Thane District Central Co-Op Bank Ltd,TDCB0000080,400524035,MIRA ROAD,"ABID PATEL HOUSE, NEAR AMAR PALACE HOTEL,  NEAR A.P. INTERNATIONAL SCHOOL , MIRAGAON  NATIONAL HIGHWAY,           PIN-401 104.",022-28457707,MIRA-BHAYANDAR,THANE,MAHARASHTRA
TDCB0000081,The Thane District Central Co-Op Bank Ltd,TDCB0000081,400524036,Z.P.EXT. THANE,"ZILLA PARIZAD COMPOUND, 1ST FLOOR, THANE (W) , TALUKA-THANE. PIN  400 601",022-25337630,THANE,THANE,MAHARASHTRA
TDCB0000082,The Thane District Central Co-Op Bank Ltd,TDCB0000082,400524040,BADLAPUR-BELAVALI EXT.COUNTER,"JIJA MATA VIKRIKAR BHAVAN,DATTA CHOWK ,BELAVALI BADLAPUR (W)PIN:421503",0251-2673699,BELVALI,THANE,MAHARASHTRA
TDCB0000085,The Thane District Central Co-Op Bank Ltd,TDCB0000085,400524053,LODHA HEAVEN (SHILPHATA),"MUKTA RESIDENSY, B-2, 1ST FLOOR, NEAR KHIDKALESHWAR MANDIR,KALYAN – SHILFATA,TALUKA-THANE",SHIVAJI PATIL 9224182032,THANE,THANE,MAHARASHTRA
TDCB0000088,The Thane District Central Co-Op Bank Ltd,TDCB0000088,400524051,MHARAL,"SHREE SWAMI-SAMARTH KRUPA BLDG.,NEAR GAONDEVI MANDIR,MHARAL GAON,POST:VARAP TAL:KALYAN DIST:THANE PIN 421301",02521-232021,KALYAN,THANE,MAHARASHTRA
TDCB0000089,The Thane District Central Co-Op Bank Ltd,TDCB0000089,,UDHAVA,"AT & POST-UDHAVA , TALUKA- TALASARI, DIST–THANE PIN- 401 606",MANOJ JADHAV,UDHAWA,THANE,MAHARASHTRA
TDCB0000090,The Thane District Central Co-Op Bank Ltd,TDCB0000090,400524050,MANKOLI,"SHRI GANESH COMPLEX, A-1, 1ST FLOOR, ANJUR ROAD, AT. MANKOLI, POST. ANJUR, TALUKA-BHIWANDI, DIST-THANE",ARVIND PATIL 9226745828,BHIWANDI,THANE,MAHARASHTRA
