ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,CITY,DISTRICT,STATE
SBIN0010237,STATE BANK OF INDIA,SBIN0010237,751002035,"RAJ BHAWAN, BHUBANESWAR",BHUBANESWAR,KHURDA,ORISSA
SBIN0010238,STATE BANK OF INDIA,SBIN0010238,751002036,JANAPATH,BHUBANESWAR,KHURDA,ORISSA
SBIN0010239,STATE BANK OF INDIA,SBIN0010239,751002032,"RAIL VIHAR, BHUBANESWAR",BHUBANESWAR,KHURDA,ORISSA
SBIN0010240,STATE BANK OF INDIA,SBIN0010240,751002034,"RAIL COACH FACTORY, BHUBANESWAR",BHUBANESWAR,KHURDA,ORISSA
SBIN0010241,STATE BANK OF INDIA,SBIN0010241,754002999,"BAZAR BRANCH, KENDRAPADA",KENDRAPADA,KENDRAPARA,ORISSA
SBIN0010243,STATE BANK OF INDIA,SBIN0010243,758002012,ESSEL MINING JURUDI,KEONJHAR,KEONJHAR ,ORISSA
SBIN0010245,STATE BANK OF INDIA,SBIN0010245,759002112,"NALCO CPP, ANGUL",ANGUL,ANGUL,ORISSA
SBIN0010246,STATE BANK OF INDIA,SBIN0010246,759002017,IGIT SARANGA,SARANGA,DHENKANAL,ORISSA
SBIN0010247,STATE BANK OF INDIA,SBIN0010247,759002111,"MCL JAGANNATH COLLIERY, TALCHER",TALCHER,ANGUL,ORISSA
SBIN0010249,STATE BANK OF INDIA,SBIN0010249,751002028,"HEADS OF DEPARTMENTS, BHUBANESWAR",BHUBANESWAR,KHURDA,ORISSA
SBIN0010250,STATE BANK OF INDIA,SBIN0010250,751002031,"KIIT SQUARE, BHUBANESWAR",BHUBANESWAR,KHURDA,ORISSA
SBIN0010251,STATE BANK OF INDIA,SBIN0010251,753002022,CHANDI CHHAK,CUTTACK,CUTTAK ,ORISSA
SBIN0010252,STATE BANK OF INDIA,SBIN0010252,756002006,"COLLEGE ROAD, BALASORE",BALASORE,BALASORE ,ORISSA
SBIN0010253,STATE BANK OF INDIA,SBIN0010253,756002103,"BAZAR BRANCH, BARIPADA",BARIPADA,MAYURBHANJ,ORISSA
SBIN0010255,STATE BANK OF INDIA,SBIN0010255,768002062,THELKULI,SAMBALPUR,SAMBALPUR,ORISSA
SBIN0010256,STATE BANK OF INDIA,SBIN0010256,768002063,HIRAKUD,HIRAKUD,SAMBALPUR,ORISSA
SBIN0010259,STATE BANK OF INDIA,SBIN0010259,NON-MICR,CAC GUWAHATI,GUWAHATI,GUWAHATI,ASSAM
SBIN0010260,STATE BANK OF INDIA,SBIN0010260,NON-MICR,"CURRENCY ADMINISTRATION CELL, SHILLONG",SHILLONG,SHILLONG,MEGHALAYA
SBIN0010261,STATE BANK OF INDIA,SBIN0010261,NON-MICR,CURRENCY ADMINISTRATION CELL,AGARTALA,AGARTALA,TRIPURA
SBIN0010262,STATE BANK OF INDIA,SBIN0010262,NON-MICR,CURRENCY ADMINISTRATION CELL,JORHAT,JORHAT,ASSAM
SBIN0010263,STATE BANK OF INDIA,SBIN0010263,711002005,RASMECCC HOWRAH,HOWRAH,HOWRAH,WEST BENGAL
SBIN0010264,STATE BANK OF INDIA,SBIN0010264,713002160,RASMECCC - CUM- SARC - BURDWAN,BURDWAN,BARDHAMAN ,WEST BENGAL
SBIN0010265,STATE BANK OF INDIA,SBIN0010265,700002395,"RASMECCC, TITAGARH",KOLKATA,KOLKATA,WEST BENGAL
SBIN0010266,STATE BANK OF INDIA,SBIN0010266,713002038,RASMECC DURGAPUR,DURGAPUR,BARDHAMAN ,WEST BENGAL
SBIN0010267,STATE BANK OF INDIA,SBIN0010267,713002034,RASMECCC ASANSOL,BURDWAN,BARDHAMAN ,WEST BENGAL
SBIN0010268,STATE BANK OF INDIA,SBIN0010268,700002268,RA&SME CCC SILIGURI,SILIGURI,JALPAIGURI,WEST BENGAL
SBIN0010269,STATE BANK OF INDIA,SBIN0010269,110002425,MADHUBAN,DELHI,NEW DELHI,DELHI
SBIN0010270,STATE BANK OF INDIA,SBIN0010270,NON-MICR,"CURRENCY ADMINISTRATIVE CELL, BHUBANESWAR",BHUBANESWAR,KHURDA,ORISSA
SBIN0010271,STATE BANK OF INDIA,SBIN0010271,NON-MICR,"CURRENCY ADMINISTRATION CELL, CUTTACK",CUTTACK,CUTTACK,ORISSA
SBIN0010272,STATE BANK OF INDIA,SBIN0010272,NON-MICR,"CURRENCY ADMINISTRATION CELL (CAC) ,  ROURKELA",ROURKELA,SUNDARGARH,ORISSA
SBIN0010273,STATE BANK OF INDIA,SBIN0010273,769002018,"RACPC, ROURKELA",ROURKELA,KHURDA ,ORISSA
SBIN0010274,STATE BANK OF INDIA,SBIN0010274,769002019,"SMECCC, ROURKELA",ROURKELA,SUNDERGARH ,ORISSA
SBIN0010275,STATE BANK OF INDIA,SBIN0010275,495002320,"RASECC,KORBA",KORBA,SUNDERGARH ,ORISSA
SBIN0010278,STATE BANK OF INDIA,SBIN0010278,520002112,"GOVT GENERAL HOSPITAL, GUNTUR",GUNTUR,KORBA,CHHATTISGARH
SBIN0010279,STATE BANK OF INDIA,SBIN0010279,520002113,PATTABHIPURAM,GUNTUR,GUNTUR,ANDHRA PRADESH
SBIN0010280,STATE BANK OF INDIA,SBIN0010280,380002199,MID CORPORATE LOAN ADMINISTRATION UNIT,AHMEDABAD,GUNTUR,ANDHRA PRADESH
SBIN0010282,STATE BANK OF INDIA,SBIN0010282,NON-MICR,"CAC I, AHMEDABAD",AHMEDABAD,AHMEDABAD,GUJARAT
SBIN0010283,STATE BANK OF INDIA,SBIN0010283,NON-MICR,"CAC-II, AHMEDABAD",AHMEDABAD,AHMEDABAD,GUJARAT
SBIN0010284,STATE BANK OF INDIA,SBIN0010284,NON-MICR,"CURRENCY ADMINISTRATION CELL, VADODARA",VADODARA,VADODARA,GUJARAT
SBIN0010285,STATE BANK OF INDIA,SBIN0010285,NON-MICR,"CAC-I, SURAT",SURAT,SURAT,GUJARAT
SBIN0010286,STATE BANK OF INDIA,SBIN0010286,NON-MICR,"CAC, RAJKOT",RAJKOT,RAJKOT,GUJARAT
SBIN0010287,STATE BANK OF INDIA,SBIN0010287,411002622,"RACPC, PUNE",PUNE,AHMEDABAD ,GUJARAT
SBIN0010288,STATE BANK OF INDIA,SBIN0010288,440002946,"RACPC,NAGPUR",NAGPUR,PUNE,MAHARASHTRA
SBIN0010289,STATE BANK OF INDIA,SBIN0010289,431002945,"RASECC, AURANGABAD",AURANGABAD,NAGPUR,MAHARASHTRA
SBIN0010290,STATE BANK OF INDIA,SBIN0010290,403002963,"RETAIL ASSETS & SMALL ENTERPRISES CREDIT  CELL, PANAJI",PANAJI,AURANGABAD,MAHARASHTRA
SBIN0010291,STATE BANK OF INDIA,SBIN0010291,NON-MICR,CAC PUNE,PUNE,PUNE,MAHARASHTRA
SBIN0010292,STATE BANK OF INDIA,SBIN0010292,NON-MICR,CURRENCY ADMINISTRATION CELL  NAGPUR,VADODARA,VADODARA,GUJARAT
SBIN0010293,STATE BANK OF INDIA,SBIN0010293,NON-MICR,"CAC, AURANGABAD",AURANGABAD,AURANGABAD,MAHARASHTRA
SBIN0010294,STATE BANK OF INDIA,SBIN0010294,NON-MICR,CURRENCY ADMINISTRATION CELL PANAJI,NAGPUR,NAGPUR,MAHARASHTRA
SBIN0010295,STATE BANK OF INDIA,SBIN0010295,400002940,"CURRENCY ADMIN CELL,S. MUMBAI",MUMBAI,NORTH GOA,GOA
SBIN0010296,STATE BANK OF INDIA,SBIN0010296,NON-MICR,CAC ANDHERI (E),MUMBAI,MUMBAI,MAHARASHTRA
SBIN0010297,STATE BANK OF INDIA,SBIN0010297,NON-MICR,CURRENCY ADMINISTATIVE CELL THANE,THANE,THANE,MAHARASHTRA
SBIN0010298,STATE BANK OF INDIA,SBIN0010298,NON-MICR,CAC THIRUVANANTHAPURAM,THIRUVANANTHAPURAM,THIRUVANANTHAPURAM,KERALA
SBIN0010299,STATE BANK OF INDIA,SBIN0010299,NON-MICR,CAC ERNAKULAM,ERNAKULAM,ERNAKULAM,KERALA
SBIN0010300,STATE BANK OF INDIA,SBIN0010300,NON-MICR,CAC THRISSUR ,THRISSUR,THRISSUR,KERALA
SBIN0010301,STATE BANK OF INDIA,SBIN0010301,NON-MICR,"CAC, CALICUT",CALICUT,CALICUT,KERALA
SBIN0010302,STATE BANK OF INDIA,SBIN0010302,302002026,"S A R C, JAIPUR",JAIPUR,GREATER BOMBAY ,MAHARASHTRA
SBIN0010303,STATE BANK OF INDIA,SBIN0010303,342002013,RETAIL ASSETS SMALL & MEDIUM ENTERPRISES CITY CREDIT CELL (RASMECCC) JODHPUR,JODHPUR,JAIPUR,RAJASTHAN
SBIN0010304,STATE BANK OF INDIA,SBIN0010304,305002097,RETAIL ASSETS SMALL & MEDIUM ENTERPRISES CITY CREDIT CELL (RASMECCC) AJMER,AJMER,JODHPUR,RAJASTHAN
SBIN0010305,STATE BANK OF INDIA,SBIN0010305,302002027,RACPC JAIPUR,JAIPUR,AJMER,RAJASTHAN
SBIN0010307,STATE BANK OF INDIA,SBIN0010307,785002520,BOKAKHAT,BOKAKHAT,JAIPUR,RAJASTHAN
SBIN0010308,STATE BANK OF INDIA,SBIN0010308,244002031,"BUDDHIVIHAR, MORADABAD",MORADABAD,GOLAGHAT,ASSAM
SBIN0010309,STATE BANK OF INDIA,SBIN0010309,500002097,DEFENCE RESEARCH DEVELOPMENT LABORATORY(DRDL) HYDERABAD,HYDERABAD,MORADABAD,UTTAR PRADESH
SBIN0010310,STATE BANK OF INDIA,SBIN0010310,523002014,"DISTRICT COLLECTOR'S OFFICE,PRAKASAM BHAVAN",ONGOLE,HYDERABAD URBAN ,ANDHRA PRADESH
SBIN0010311,STATE BANK OF INDIA,SBIN0010311,523002013,"DISTRICT COURT COMPLEX, ONGOLE",ONGOLE,PRAKASAM,ANDHRA PRADESH
SBIN0010312,STATE BANK OF INDIA,SBIN0010312,243002022,"JRC , BAREILLY",BAREILLY,PRAKASAM,ANDHRA PRADESH
SBIN0010313,STATE BANK OF INDIA,SBIN0010313,281002015,GOVERDHAN ,MATHURA,BAREILLY,UTTAR PRADESH
SBIN0010314,STATE BANK OF INDIA,SBIN0010314,440002032,AMBAZARI ORDNANCE FACTORY,AMBAZARI,MATHURA,UTTAR PRADESH
SBIN0010315,STATE BANK OF INDIA,SBIN0010315,625002022,"LADY DOAK COLLEGE, MADURAI",MADURAI,NAGPUR,MAHARASHTRA
SBIN0010316,STATE BANK OF INDIA,SBIN0010316,682002037,"INFOPARK BRANCH,  KOCHI",KOCHI,MADURAI,TAMIL NADU
