ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,,CONTACT,CITY,DISTRICT
APGB0000001,Andhra Pragathi Grameena Bank,APGB0000001,,HEAD OFFICE,"POST BOX 65, OPP OFFICERS' CLUB, KADAPA",9490158005,CUDDAPAH,CUDDAPAH,ANDHRA PRADESH
APGB0001001,Andhra Pragathi Grameena Bank,APGB0001001,,LEPAKSHI,"LEPAKSHI-515331
LEPAKSHI MANDAL
ANANTAPUR DISTRICT",08556-240475,LEPAKSHI,ANANTAPUR,ANDHRA PRADESH
APGB0001002,Andhra Pragathi Grameena Bank,APGB0001002,,ANANTAPUR  MAIN BRANCH,"ANANTAPUR  MAIN BRANCH 
B.S.N. COMPLEX, RAJU ROAD, 
ANANTAPUR, 
ANANTAPUR DISTRICT. PIN 515001",08554-221022,ANANTAPUR,ANANTAPUR,ANDHRA PRADESH
APGB0001003,Andhra Pragathi Grameena Bank,APGB0001003,,MUDDINAYANIPALLI,"MUDDINAYANIPALLI-515761
KALYANADURG MANDAL
ANANTAPUR DISTRICT",08492-200622,MUDDINAYANIPALLI,ANANTAPUR,ANDHRA PRADESH
APGB0001004,Andhra Pragathi Grameena Bank,APGB0001004,,NUTHIMADUGU,"NUTHIMADUGU-515787
KAMBADUR MANDAL
ANANTAPUR DISTRICT",08492-200633,NUTHIMADUGU,ANANTAPUR,ANDHRA PRADESH
APGB0001005,Andhra Pragathi Grameena Bank,APGB0001005,,MARALA,"MARALA-515159
BUKKAPATNAM MANDAL
ANANTAPUR DISTRICT",08555-283620,MARALA,ANANTAPUR,ANDHRA PRADESH
APGB0001007,Andhra Pragathi Grameena Bank,APGB0001007,,PAMIDI,"PAMIDI-515775
PAMIDI MANDAL
ANANTAPUR DISTRICT",08552-245088,PAMIDI,ANANTAPUR,ANDHRA PRADESH
APGB0001008,Andhra Pragathi Grameena Bank,APGB0001008,,KALASAMUDRAM,"KALASAMUDRAM-515591
KADIRI MANDAL
ANANTAPUR DISTRICT",08494-251364,KALASAMUDRAM,ANANTAPUR,ANDHRA PRADESH
APGB0001009,Andhra Pragathi Grameena Bank,APGB0001009,,RAYALACHERUVU,"RAYALACHERVU-515455
YADIKI MANDAL
ANANTAPUR DISTRICT",08558-277550,RAYALACHERUVU,ANANTAPUR,ANDHRA PRADESH
APGB0001010,Andhra Pragathi Grameena Bank,APGB0001010,,KODIKONDA,"KODIKONDA-515601
CHILAMATHUR MANDAL
ANANTAPUR DISTRICT",08556-243731,KODIKONDA,ANANTAPUR,ANDHRA PRADESH
APGB0001011,Andhra Pragathi Grameena Bank,APGB0001011,,ROLLA,"ROLLA-515321
ROLLA MANDAL
ANANTAPUR DISTRICT",08493-289126,ROLLA,ANANTAPUR,ANDHRA PRADESH
APGB0001012,Andhra Pragathi Grameena Bank,APGB0001012,,GUGUDU,"GUGUDU-515435
NARPALA MANDAL
ANANTAPUR DISTRICT",08554-283913,GUGUDU,ANANTAPUR,ANDHRA PRADESH
APGB0001013,Andhra Pragathi Grameena Bank,APGB0001013,,RAMAPURAM(A),"RAMAPURAM (A)- 515672
BATHALAPALLI MANDAL
ANANTAPUR DISTRICT",08559-201814,D.CHERLOPALLI,ANANTAPUR,ANDHRA PRADESH
APGB0001014,Andhra Pragathi Grameena Bank,APGB0001014,,NALLAMADA,"NALLAMADA-515591
NALLAMADA MANDAL
ANANTAPUR DISTRICT",08494-257508,NALLAMADA,ANANTAPUR,ANDHRA PRADESH
