ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,,CONTACT,CITY,DISTRICT
ASBL0000037,Apna Sahakari Bank Ltd,ASBL0000037,416098008,RAJARAMPURI,"C.S.NO.1382, E WARD, SHIVAJI VIDYAPITHROAD, RAJARAPURI, KOLHAPUR 416008",,0231 02521078,KOLHAPUR,KOLHAPUR
ASBL0000038,Apna Sahakari Bank Ltd,ASBL0000038,416098003,LAXMIPURI,"883 K, C WARD, NEAR UMA , LAXMIPURI, KOLHAPUR 416004",,0231 2640658,KOLHAPUR,KOLHAPUR
ASBL0000039,Apna Sahakari Bank Ltd,ASBL0000039,NA,BAMBAVADE,"BAUCHKAR BLDG., AT POST-BAMBAVADE, TAL.-SHAHUWADI, KOLHAPUR 416213",,02329 234484,BAMBAVADE,KOLHAPUR
ASBL0000040,Apna Sahakari Bank Ltd,ASBL0000040,NA,GADHINGLAJ,"MAKANDAR COMPLEX, MAIN ROAD, GADHINGLAJ, KOLHAPUR 416052",,02327 224340,GADHINGLAJ,KOLHAPUR
ASBL0000041,Apna Sahakari Bank Ltd,ASBL0000041,NA,GARGOTI,"S.S.NO.1277, VANI GALLI, GARGOTI, TAL.BHUDARGAD, KOLHAPUR 416209",,02324 221476,GARGOTI,KOLHAPUR
ASBL0000042,Apna Sahakari Bank Ltd,ASBL0000042,400098027,JOGESHWARI,"RJMDS'S INST. MUMBAI, BAL VIKAS VIDYAMANDIR SCHOOL, RATNASINDHU, MEGHWADI, JOGESHWARI (E), MUMBAI 400060",,022 28302700/28306699,MUMBAI,GREATER BOMBAY
ASBL0000043,Apna Sahakari Bank Ltd,ASBL0000043,400098028,DADAR (W),"MADHUKALA CHS, R.K.VAIDYA MARG, DADAR (W) MUMBAI 400028",,022 24328337/24328336,MUMBAI,GREATER BOMBAY
ASBL0000044,Apna Sahakari Bank Ltd,ASBL0000044,400098029,BHIWANDI,"223, DURGA KRUPA, TELI PADA, AGRA ROAD, DHAMANKAR NAKA, BHIWANDI, DIST-THANE 421302",,02522 254411/254412,BHIWANDI,THANE
ASBL0000045,Apna Sahakari Bank Ltd,ASBL0000045,416098326,KANKAVLI,"SHOP NO.A5,GR.FLOOR,BANDAL COMPLEX, OPP. PRANT OFFICE, MUMBAI-GOA HIGHWAY, KANKAVLI, DIST. SINDHURGA",,02367 231981/ 231982,KANKAVLI,SINDHUDURG
ASBL0000046,Apna Sahakari Bank Ltd,ASBL0000046,400098030,KAMOTHE,"SHOP NO 4,5,6, PRATAPGADH CHS, PLOT NO.37, SECTOR NO.34 MANSAROVAR, KAMOTHE, NAVI MUMBAI 410209",,,KAMOTHE,RAIGAD
ASBL0000047,Apna Sahakari Bank Ltd,ASBL0000047,NA,SATPUR-NASHIK,"SHOP NO.2-5, RAHUL PRASAD CHS, ABB CIRCLE CORNER. OPP. HOTAL EMERALD PARK, MAHATMA NAGAR, SATPUR, NASHIK 422007",,,NASHIK,NASHIK
ASBL0000048,Apna Sahakari Bank Ltd,ASBL0000048,400098031,TALOJA,"HOUSE NO.362,AT & POST NAWDA PHATA, NEAR TALOJA MIDC BRIDGE, MUMBAI-PUNE-ROAD, TALOJA, NAVI MUMBAI 410206",,,TALOJA,RAIGAD
ASBL0000049,Apna Sahakari Bank Ltd,ASBL0000049,400098032,KALYAN,"VEDMANTRA APARTMENTS, GROUND FLOOR, GHODEKHAT LANE, AGRA CROSS ROAD, KALYAN WEST, DIST THANE 421301",,KALYAN,THANE,MAHARASHTRA
ASBL0000050,Apna Sahakari Bank Ltd,ASBL0000050,400098033,BADLAPUR,"SHOP NO.1 TO 6, GROUND FLOOR, SARASWATI C.H.S, OPP KALYANVASTU HALL, NEAR ATITHI HOTEL, KULGAON, BADLAPUR EAST, DIST THANE 421503",,BADLAPUR,THANE,MAHARASHTRA
ASBL0000051,Apna Sahakari Bank Ltd,ASBL0000051,400098034,AMBERNATH,"MANDAR APARTMENTS, SHOP NO.1 & 2, GROUND LOOR, NEAR SHIV SENA OFFICE, VADAVLI SECTION, AMBERNATH EAST, DIST THANE 421501",,AMBERNATH,THANE,MAHARASHTRA
ASBL0000052,Apna Sahakari Bank Ltd,ASBL0000052,400098035,BHAYANDER,"RITU HORIZON, GROUND FLOOR, COMMERCIAL WING, 100 WIDE, KANAKIA ROAD, NEAR ANKUR BUILDING, BHAYANDER KASHIMIRA CROSS ROAD, BHAYANDER EAST, DIST THANE 401107",,BHAYANDER,THANE,MAHARASHTRA
