ID,BANK,IFSC,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT DETAILS,CENTRE,DISTRICT,STATE
ADCC0000001,Akola District Central Co-Operative Bank,ADCC0000001,444831000,HEAD OFFICE-AKOLA,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,P.B.NO. 8, CIVIL LINES, S.A. COLLEGE ROAD, AKOLA. 444001",0724-2415785/ 0724-2425600,AKOLA,AKOLA,MAHARASHTRA
ADCC0000002,Akola District Central Co-Operative Bank,ADCC0000002,444831003,MARKET YARD BRANCH - AKOLA,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH MARKET YARD, APMC, NEAR SHIVAJI COLLEGE, AKOLA. 444001",0724-2415785/ 0724-2425600,AKOLA,AKOLA,MAHARASHTRA
ADCC0000003,Akola District Central Co-Operative Bank,ADCC0000003,444831004,KAPAD BAZAR BRANCH - AKOLA,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH KAPAD BAZAR, 
TILAK ROAD, RAYAT HAWELI, AKOLA. 444001",0724-2415785/ 0724-2425600,AKOLA,AKOLA,MAHARASHTRA
ADCC0000004,Akola District Central Co-Operative Bank,ADCC0000004,444831005,SHRI RAJESHWAR BRANCH - AKOLA,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., JAI HIND CHOWK, OLD CITY, AKOLA. 444002",0724-2415785/ 0724-2425600,AKOLA,AKOLA,MAHARASHTRA
ADCC0000005,Akola District Central Co-Operative Bank,ADCC0000005,444831006,ZP BRANCH - AKOLA,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH Z.P., NEAR COLLECTOR OFFICE, AKOLA. 444001",0724-2415785/ 0724-2425600,AKOLA,AKOLA,MAHARASHTRA
ADCC0000006,Akola District Central Co-Operative Bank,ADCC0000006,444831002,CIVIL LINES BRANCH - AKOLA,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., CIVIL LINES BRANCH, S.A. COLLEGE ROAD, AKOLA. 444001",0724-2415785/ 0724-2425600,AKOLA,AKOLA,MAHARASHTRA
ADCC0000007,Akola District Central Co-Operative Bank,ADCC0000007,444831007,MAHILA BRANCH - AKOLA,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., RAMDAS PETH, NEAR BIRLA GATE, AKOLA. 444005",0724-2415785/ 0724-2425600,AKOLA,AKOLA,MAHARASHTRA
ADCC0000008,Akola District Central Co-Operative Bank,ADCC0000008,444831008,SAH.MAH.DR.ANNASAHEB KORPE NGR BR-AKOLA,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., ADARSH COLONY, NEAR ADARSH VIDYALAYA, AKOLA. 444005",0724-2415785/ 0724-2425600,AKOLA,AKOLA,MAHARASHTRA
ADCC0000009,Akola District Central Co-Operative Bank,ADCC0000009,444831009,DR.PDKV BRANCH - AKOLA,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., IN P.D.K.V. PREMICES, AKOLA. 444004",0724-2415785/ 0724-2425600,AKOLA,AKOLA,MAHARASHTRA
ADCC0000010,Akola District Central Co-Operative Bank,ADCC0000010,444831010,DABKI ROAD BRANCH - AKOLA,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH DABKI ROAD, NEAR KHANDELWAL HIGH SCHOOL, GODBOLE PLOT, DABKI ROAD, OLD CITY, AKOLA. 444002",0724-2415785/ 0724-2425600,AKOLA,AKOLA,MAHARASHTRA
