ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT,CITY,DISTRICT,STATE
KARB0000002,Karnataka Bank Ltd,KARB0000002,575052501,ADYANADKA,"KEPU VILLAGE,POST ADYANADKA,BANTWAL TALUK-574260",,NA,DAKSHINA KANNADA,KARNATAKA
KARB0000003,Karnataka Bank Ltd,KARB0000003,576052501,AIRODY,"NH-17 HIGHWAY,AIRODY-576226,UDUPI DIST",,NA,UDUPI,KARNATAKA
KARB0000004,Karnataka Bank Ltd,KARB0000004,577052521,AJJAMPURA,"1ST FLOOR,ANANDA NILAYA,T.H ROAD,D NO200 BY 2,TARIKERE TALUK,AJJAMPURA-577547",,NA,CHICKMAGALUR,KARNATAKA
KARB0000005,Karnataka Bank Ltd,KARB0000005,586052501,ALMEL,SS GUNDAGI BLDG MAIN ROAD ALMEL 586202 BIJAPUR DIST,,NA,BIJAPUR,KARNATAKA
KARB0000006,Karnataka Bank Ltd,KARB0000006,577052522,ANAVATTI,"IST FLOOR,KAMAKSHI KRIPA, MAIN ROAD, ANAVATTI 577 413, SORABA TALUK, DIST SHIMOGA",,SORABA,SHIMOGA,KARNATAKA
KARB0000007,Karnataka Bank Ltd,KARB0000007,573052501,AREHALLI,"AL SADIQ COMPLEX,SAKLESHPUR ROAD, AREHALLI 573 101",,BEGUR,HASSAN,KARNATAKA
KARB0000008,Karnataka Bank Ltd,KARB0000008,573052502,ARKALGUD,"NO1, 1ST FLOOR, K ABDUL JABBAR BUILDING HOLENARASIPUR ROAD, ARKALGUD 573 102",,ARKALGUD,HASSAN,KARNATAKA
KARB0000009,Karnataka Bank Ltd,KARB0000009,573052002,ARSIKERE MAIN,"LAKSHMI PB 38, B H ROAD, ARSIKERE 573103, HASSAN DIST",,ARSIKERE,HASSAN,KARNATAKA
KARB0000010,Karnataka Bank Ltd,KARB0000010,577052523,AYANUR,"SITE NO 47 AND  48,HARNAHALLY ROAD, AYANUR-577211,SHIMOGA DIST,KARNATAKA",,NA,SHIMOGA,KARNATAKA
KARB0000011,Karnataka Bank Ltd,KARB0000011,575052502,AMTADY,1ST FLOOR  LOURDES COMPLEX AMTADY  LORETTO POST  BANTWAL TALUK 574211 D K   KARNATAKA,,NA,DAKSHINA KANNADA,KARNATAKA
KARB0000012,Karnataka Bank Ltd,KARB0000012,575052022,AIKALA,"POST KINIGOLI, PB 18, AIKALA 574 150, DAKSHINA KANNAD DIST",,AIKALA,DAKSHINA KANNADA,KARNATAKA
KARB0000013,Karnataka Bank Ltd,KARB0000013,576052502,AMASEBAIL,"ABHIRAM BUILDING,MAIN ROADUDUPI DIST,AMASEBAIL",,NA,UDUPI,KARNATAKA
KARB0000014,Karnataka Bank Ltd,KARB0000014,515052663,AGALI,VASAVI TEMPLE BLDG VASAVI TEMPLE STREET AGALI 515311 ANANTHAPUR DIST,,NA,ANANTPUR,ANDHRA PRADESH
KARB0000015,Karnataka Bank Ltd,KARB0000015,575052503,ALADANGADY,1 161 1ST FLOOR NEHRU SANKURNA MAIN ROAD BELTHANGADY TALUK 574217,,NA,DAKSHINA KANNADA,KARNATAKA
KARB0000016,Karnataka Bank Ltd,KARB0000016,576052002,ADI UDUPI KARNATAKA,"IST FLOOR,DURGA INTERNATIONAL BUILDINGS, NEAR CITY BUS STAND, UDUPI 576 101",,UDUPI,UDUPI,KARNATAKA
KARB0000017,Karnataka Bank Ltd,KARB0000017,403052003,ALTO BETIM GOA,"823, NEAR TEEN BLDG, ALTO POROVIM, GOA 403 521, BARDEZ TALUK",,GOA,NORTH GOA,GOA
KARB0000018,Karnataka Bank Ltd,KARB0000018,576052003,AMBAGILU UDUPI,"FIRST FLOOR, AJITH COMPLEX, POST UDUPI PUTTUR, AMBAGILU 576 105, UDUPI DIST",,UDUPI,UDUPI,KARNATAKA
KARB0000019,Karnataka Bank Ltd,KARB0000019,591052402,ATHANI,"JAGDALMATH BUILDING, MAIN ROAD,ATHANI 591 304",,ATHANI,BELGAUM,KARNATAKA
KARB0000020,Karnataka Bank Ltd,KARB0000020,518052202,ADONI ANDRAPRADESH,"DOOR NO 19 BY 418 2, I FLOOR, PB NO 1, RAWJEES COMPLEX,MUNICIPAL MAIN RD ADONI 518301 KU",,ADONI,KURNOOL,ANDHRA PRADESH
KARB0000021,Karnataka Bank Ltd,KARB0000021,380052002,AHMEDABAD MAIN SARANGPUR,"SHRI GHANTHKARNA MAHAVIR COMMERCIAL MARKET, SARANGPUR 380 002",,AHMEDABAD,AHMEDABAD,GUJARAT
KARB0000022,Karnataka Bank Ltd,KARB0000022,688052002,ALAPPUZHA,"D.NO. 1660 BY B, R.N.A. COMPLEX, CHURCH ROAD,ALAPPUZHA-688011",,NA,ALAPUZZHA,KERALA
KARB0000023,Karnataka Bank Ltd,KARB0000023,577052524,ANAJI,"GRAM PANCHAYAT BLDG,MAIN ROAD,ANAJI-577512,DAVANGERE DIST",,NA,DAVANAGARE,KARNATAKA
KARB0000024,Karnataka Bank Ltd,KARB0000024,577052525,ANTHARAGATTE,TEMPLE ROAD ANTHARGATTE KADUR TALUK  577547,,NA,CHICKMAGALUR,KARNATAKA
KARB0000025,Karnataka Bank Ltd,KARB0000025,515052002,ANANTHAPUR,"D NO 13 3 304, THAKAI TOWERS, RAILWAY FEEDER RD, ANANTAPUR 515001",,ANANTHAPUR,ANANTPUR,ANDHRA PRADESH
KARB0000026,Karnataka Bank Ltd,KARB0000026,380052003,MEMNAGAR AHMEDABAD,"RAJ PLAZA COMPLEX,GURUKUL ROAD,MEMNAGAR,AHMEDABAD 380052",,AHMEDABAD,AHMEDABAD,GUJARAT
KARB0000027,Karnataka Bank Ltd,KARB0000027,143052002,AMRITSAR PUNJAB,"R K BUILDING, 37 A, THE MALL, NEAR NOVELTY CHOWK, AMRITSAR 143001",,PUNJAB,AMRITSAR,PUNJAB
KARB0000028,Karnataka Bank Ltd,KARB0000028,573052002,ARSIKERE-H.C (E.C),"HOYSALESHWARA COLLEGE, B H ROAD, ARSIKERE - 573103",,ARSIKERE,HASSAN,KARNATAKA
KARB0000029,Karnataka Bank Ltd,KARB0000029,211052002,ALLAHABAD,23 M G MARG CIVIL LINES ALLAHABAD,,ALLAHABAD,ALLAHABAD,UTTAR PRADESH
KARB0000030,Karnataka Bank Ltd,KARB0000030,282052002,AGRA,"NO. 76, HERITAGE TOWER, NEHRU NAGAR, MAHATMA GANDHI ROAD, AGRA - 282002, UTTAR PRADESH",,AGRA,AGRA,UTTAR PRADESH
KARB0000031,Karnataka Bank Ltd,KARB0000031,431052003,AURANGABAD,"SHOP NO. 4 GROUND FLOOR, TAPADIA TERRACES, ADALAT ROAD, AURANGABAD-431 001, MAHARASHTRA",,AURANGABAD,AURANGABAD,MAHARASHTRA
KARB0000032,Karnataka Bank Ltd,KARB0000032,700052009,AMTALA,"DAG. NO. 167,""PITRY ASISH"", N.D. ROAD,AMTALA - 743398.",,AMTALA,SOUTH 24 PARGANAS,WEST BENGAL
KARB0000033,Karnataka Bank Ltd,KARB0000033,759052102,ANGUL,"1ST FLOOR, PLOT NO. 1270, SHANTI BAZAAR, ANGUL - 759122.",,ANGUL,ANGUL,ORISSA
KARB0000034,Karnataka Bank Ltd,KARB0000034,577052556,ARAKERE,"GROUND FLOOR, SRI LAXMIRANGANATHA NILAYA, HARIHARA ROAD, ARAKERE - 577217, DAVANGERE DIST.",,ARAKERE,DAVANGERE,KARNATAKA
KARB0000051,Karnataka Bank Ltd,KARB0000051,587052102,BAGALKOT,"RAICGUR BELGAUM ROAD, BAGALKOT, PB 62, PIN 587101",,BAGALKOT,BAGALKOT,KARNATAKA
KARB0000052,Karnataka Bank Ltd,KARB0000052,577052526,BALEHONNUR,"SOMESHWARA COMPLEX, MAIN RD, BALEHONNUR 577112",,BALEHONNUR,CHICKMAGALUR,KARNATAKA
KARB0000053,Karnataka Bank Ltd,KARB0000053,560052003,ASHOK NAGAR BANGALORE,"16 BY 2, WOOD STREET, ASHOKNAGAR, BANGALORE 560025",,BANGALORE,BANGALORE URBAN,KARNATAKA
