ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT,CITY,DISTRICT,STATE
AMCB0660002,The Ahmedabad Merc. Cooperative Bank,AMCB0660002,380066002,RELIEF ROAD,"MUMTAJ MAHAL, ZAKARIYA MASZID, RELIEF ROAD, AHMEDABAD-380 001","079-22139024,22164199",AHMEDABAD,AHMEDABAD,GUJARAT
AMCB0660003,The Ahmedabad Merc. Cooperative Bank,AMCB0660003,380066003,MANINAGAR,"JAWAHAR CHOWK CHAR RASTA,MANINAGAR, AHMEDABAD-380 008.","079-25450515,25451410",AHMEDABAD,AHMEDABAD,GUJARAT
AMCB0660004,The Ahmedabad Merc. Cooperative Bank,AMCB0660004,380066004,NARANPURA,"1,ATUL PARK SOCIETY, NR.NARANPURA CHAR RASTA,NARANPURA, AHMEDABAD-380 013.","079-27682016,27680940",AHMEDABAD,AHMEDABAD,GUJARAT
AMCB0660005,The Ahmedabad Merc. Cooperative Bank,AMCB0660005,380066005,GIRDHARNAGAR,"NILUMBAUG FLAT, OPP.SHAHIBAUG GUEST HOUSE,GIRDHARNAGAR, SAHIBAUG ROAD, AHMEDABAD-380 004.",079-22864640,AHMEDABAD,AHMEDABAD,GUJARAT
AMCB0660007,The Ahmedabad Merc. Cooperative Bank,AMCB0660007,380066007,MAHENDIKUA,"SHANKARPURA CHAR RASTA, NR.SHAKTINAGAR, OUTSITE SHAHPUR DARWAJA,  AHMEDABAD-380 004.","079-2562718,25631510",AHMEDABAD,AHMEDABAD,GUJARAT
AMCB0660008,The Ahmedabad Merc. Cooperative Bank,AMCB0660008,380066008,PANCHKUVA,"VANDANA CLOTH MARKET, NR. PANCHKUVA DARWAJA, AHMEDABAD-380001","079-22145646,22113524",AHMEDABAD,AHMEDABAD,GUJARAT
AMCB0660009,The Ahmedabad Merc. Cooperative Bank,AMCB0660009,380066009,PALDI,"NR. FATEHNAGAR BUS STAND, PALDI, AHMEDABAD-380007",079-26621189,AHMEDABAD,AHMEDABAD,GUJARAT
AMCB0660010,The Ahmedabad Merc. Cooperative Bank,AMCB0660010,380066010,AMBAWADI,"OJAS APT., L COLONY CHAR RASTA, S.M.ROAD,AMBAWADI, AHMEDABAD-380015","079-26306109,26300109",AHMEDABAD,AHMEDABAD,GUJARAT
AMCB0660011,The Ahmedabad Merc. Cooperative Bank,AMCB0660011,380066011,ODHAV,"ARVIND SHOPING CENTRE, ODAHV, AHMEDABAD-382410","079-22891147,22894089",AHMEDABAD,AHMEDABAD,GUJARAT
AMCB0660012,The Ahmedabad Merc. Cooperative Bank,AMCB0660012,380066012,DELHICHAKLA,"PATEL HOUSE, O/S DARIAPUR DARWAJA, NR. VINOD CHAMBER, AHMEDABAD-380004","079-22123471,",AHMEDABAD,AHMEDABAD,GUJARAT
