ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT,CITY,DISTRICT,STATE
PJSB0000002,Parsik Janata Sahakari Bank Ltd,PJSB0000002,400312002,HEAD OFFICE,"NASHEMAN BUILDING ,1ST FLOOR, NEAR KALWA MARKET KALWA THANE 400 605",,25376706-32420955,THANE,THANE
PJSB0000003,Parsik Janata Sahakari Bank Ltd,PJSB0000003,400312003,KALWA BRANCH,"KALWA BRANCH, CREEK VIEW APARTMENT, 1ST FLOOR, BOMBAY PUNE ROAD,KALWA, THANE - 400 605.",,25348350,THANE,THANE
PJSB0000004,Parsik Janata Sahakari Bank Ltd,PJSB0000004,400312004,BELAPUR BRANCH,"BELAPUR BRANCH, BHAU PATIL BUILDING, BELAPUR - 400 614.",,27572628,NEW MUMBAI,THANE
PJSB0000005,Parsik Janata Sahakari Bank Ltd,PJSB0000005,400312005,KOPARKHAIRNE BRANCH,"KOPARKHAIRNE BRANCH, PLOT NO. 80, SECTOR NO. 5, KOPARKHAIRNE - 400 709.",,27541916,NEW MUMBAI,THANE
PJSB0000006,Parsik Janata Sahakari Bank Ltd,PJSB0000006,400312006,MAJIWADE BRANCH,"MAJIWADE BRANCH, LAXMI APT, 1ST FLR, KAPURBAWDI NAKA, MAJIWADE, THANE - 400 607.",,25340359,THANE,THANE
PJSB0000007,Parsik Janata Sahakari Bank Ltd,PJSB0000007,400312007,KHARKAR ALI BRANCH,"KHARKAR ALI BRANCH, VAISHNAV MANDIR BUILDING, GR.FLOOR, JAMBHALI NAKA, KHARKAR ALI, THANE.",,25369037,THANE,THANE
PJSB0000008,Parsik Janata Sahakari Bank Ltd,PJSB0000008,400312008,BHIWANDI BRANCH,"BHIWANDI BRANCH, DHAMANKAR NAKA, BHIWANDI. PIN CODE - 421 302.",,27707654,BHIWANDI,THANE
PJSB0000009,Parsik Janata Sahakari Bank Ltd,PJSB0000009,400312009,NERUL NAGAR BRANCH,"NERUL NAGAR BRANCH, PLOT NO. 4B, SECTOR NO. 3, NERUL, NAVI MUMBAI - 400 706.",,952522-225257/229540,NEW MUMBAI,THANE
PJSB0000010,Parsik Janata Sahakari Bank Ltd,PJSB0000010,400312010,LOUISWADI BRANCH,"LOUISWADI BRANCH, SURABHI APARTMENT, GROUND FLOOR, LOUISWADI, THANE.",,25811096,THANE,THANE
PJSB0000011,Parsik Janata Sahakari Bank Ltd,PJSB0000011,400312011,A.P.M.C. MARKET BRANCH,"A.P.M.C. MARKET BRANCH, CENTRAL FACILITY BUILDING,  A.P.M.C.MARKET, SECTOR  19, VASHI, NAVI MUMBAI.",,27654035,NEW MUMBAI,THANE
PJSB0000012,Parsik Janata Sahakari Bank Ltd,PJSB0000012,400312012,KHARIGAON BRANCH,"KHARIGAON BRANCH, JAY BHARAT SPORTS CLUB BUILDING, KHARIGOON, PAKHADI, POST. KALWA, DIST. THANE- 400 605.",,25413268,THANE,THANE
PJSB0000013,Parsik Janata Sahakari Bank Ltd,PJSB0000013,400312013,AIROLI SECTOR - 1 BRANCH,"AIROLI SECTOR - 1 BRANCH, OM SHANTI COMMERCIAL PREMISES CO.OP. HSG. SOCIETY, SECTOR NO.1, AIROLI, NAVI MUMBAI - 400 708.",,27693662,NEW MUMBAI,THANE
PJSB0000014,Parsik Janata Sahakari Bank Ltd,PJSB0000014,400312014,SANPADA BRANCH,"SANPADA BRANCH, PLOT NO. 7, SECTOR - 5, SANPADA, NAVI MUMBAI - 400 705.",,27546051,NEW MUMBAI,THANE
PJSB0000015,Parsik Janata Sahakari Bank Ltd,PJSB0000015,400312015,KOPARKHAIRNE EXT. COUNTER,"KOPARKHAIRNE EXT. COUNTER, SECTOR NO. 17, DYAN VIKAS SANSTHA, VIDYALAYA, KOPARKHAIRNE VILLAGE-400 701.",,952524-222183 / 202542,NEW MUMBAI,THANE
PJSB0000016,Parsik Janata Sahakari Bank Ltd,PJSB0000016,400312016,AIROLI SECTOR - 5 BRANCH,"AIROLI SECTOR - 5 BRANCH, PLOT NO. 32, SECTOR NO. 5, AIROLI, NAVI MUMBAI - 400 708.",,27694883,NEW MUMBAI,THANE
PJSB0000017,Parsik Janata Sahakari Bank Ltd,PJSB0000017,400312017,NAUPADA BRANCH,"NAUPADA BRANCH, HEMENDRA SHOPPING CENTRE, 1ST FLOOR, GOKHALE ROAD, NAUPADA, THANE - 400 602.",,25364707,THANE,THANE
PJSB0000018,Parsik Janata Sahakari Bank Ltd,PJSB0000018,400312018,PARSIK NAGAR BRANCH,"PARSIK NAGAR BRANCH, CHAVANDAI COMPLEX, GROUND FLOOR, BOMBAY PUNE  ROAD, PARSIK NAGAR, KALWA, THANE - 400 605.",,25383688,THANE,THANE
PJSB0000019,Parsik Janata Sahakari Bank Ltd,PJSB0000019,400312019,NERUL PHASE - II BRANCH,"NERUL PHASE - II BRANCH, PLOT NO. 28/B, SECTOR NO. 10, NERUL, OPP. SARSOLE BUS STOP, NAVI MUMBAI - 400 708.",,27716864,NEW MUMBAI,THANE
PJSB0000020,Parsik Janata Sahakari Bank Ltd,PJSB0000020,400312020,KASARVADAVALI BRANCH,"KASARVADAVALI BRANCH, SATNAM APARTMENT, GROUND FLOOR, GHODBANDAR ROAD, OPP. POLICE STATION KASARWADAVALI, THANE - 400 607.",,25970629,THANE,THANE
PJSB0000021,Parsik Janata Sahakari Bank Ltd,PJSB0000021,400312021,KALYAN BRANCH,"KALYAN BRANCH, PYARA-DECK BUILDING, GALA NO. 5 & 6, OPP. BIRLA COLLEGE, MHADA PLOT NO. C - 1, S.  NO.42/A, TAL. KALYAN, DIST. THANE - 421 301.",,95251 - 2316846,KALYAN,THANE
PJSB0000022,Parsik Janata Sahakari Bank Ltd,PJSB0000022,400312022,BHIWANDI EXTENSION COUNTER,"BHIWANDI EXTENSION COUNTER, SHETKARI UNNATI MANDAL, PARSHURAM DHONDU TAWARE VIDYALAY, AT.POST.KALHER TAL.BHIWANDI, DIST-THANE. PIN-421 302.",,952522-274050,BHIWANDI,THANE
PJSB0000025,Parsik Janata Sahakari Bank Ltd,PJSB0000025,,BHAYANDAR,"HALL NO1 & 2, SHREE VINAYAK BUILDING 1ST FLOOR, SARVODAYA COMPEX, BHAYANDAR (E) DIST.- THANE 401 107",,28556500,THANE,THANE
PJSB0000026,Parsik Janata Sahakari Bank Ltd,PJSB0000026,,URAN,"HOUSE NO.72, 1ST FLOOR, KOT NAKA, URAN.  DIST. RAIGAD 400 702",,,URAN,RAIGAD
