ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT,CITY,DISTRICT,STATE
MHCB0000002,Mizuho Corporate Bank Ltd,MHCB0000002,400694002,MUMBAI BRANCH,"FIRST FLOOR, MAKER CHAMBER III, JAMNALAL BAJAJ ROAD, NARIMAN POINT, MUMBAI – 400 021",,MUMBAI,MUMBAI,MAHARASHTRA
MHCB0000532,Mizuho Corporate Bank Ltd,MHCB0000532,400694002,MUMBAI,"MAKER CHAMBER III,NARIMAN POINT,MUMBAI 400 021 ",,MUMBAI,MUMBAI,MAHARASHTRA
MHCB0000793,Mizuho Corporate Bank Ltd,MHCB0000793,110694002,NEW DELHI,"4TH FL, EAST TOWER, SOOD TOWER, 25, BARAKHAMBA ROAD NEW DELHI. 110 001. ",,NEW DELHI,NEW DELHI,DELHI
