ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT,CITY,DISTRICT,STATE
VSBL0000001,"The Vishweshwar Sahakari Bank Ltd., Pune",VSBL0000001,411335001,HEAD OFFICE,"471/472, MARKET YARD, GULTEKADI, PUNE 411037",9881909716,PUNE,PUNE,MAHARASHTRA
VSBL0000002,"The Vishweshwar Sahakari Bank Ltd., Pune",VSBL0000002,411335004,FURSUNGI,"S.NO.169, SATYAPURAM,PUNE-SASWAD ROAD.,FURSUNGI, TAL.- HAVELI,DIST.- PUNE 412308",9881909702,PUNE,PUNE,MAHARASHTRA
VSBL0000003,"The Vishweshwar Sahakari Bank Ltd., Pune",VSBL0000003,411335006,MARKET YARD,"471/472, MARKET YARD, GULTEKADI, PUNE 411037",9881909703,PUNE,PUNE,MAHARASHTRA
VSBL0000004,"The Vishweshwar Sahakari Bank Ltd., Pune",VSBL0000004,411335003,DHANKAWADI,"S.NO.14/1/A, PINAK SHOPPING COMPLEX, JEMS BAJAJ SHOWROOM BUILD,.PUNE-SATARA RD., DHANKWADI,PUNE  411 043",9881909704,PUNE,PUNE,MAHARASHTRA
VSBL0000005,"The Vishweshwar Sahakari Bank Ltd., Pune",VSBL0000005,411335002,BANER ROAD,"OFFICE NO. 1, SHRIRAM PALACE, S. NO. 82/3, OPP. STATE BANK OF MAYSORE, MAHLUGE - BANER ROAD, PUNE 411 045",9881909705,PUNE,PUNE,MAHARASHTRA
VSBL0000006,"The Vishweshwar Sahakari Bank Ltd., Pune",VSBL0000006,411335007,YAMUNANAGAR,"SECTOR NO.21, SCHEME NO.23/4,SANTKRIPA COMMERCIAL COMPLEX, 1ST FLOOR, YAMUNANAGAR,BEHIND BAJAJ AUTO, NIGDI, PUNE 411 044",9881909706,PUNE,PUNE,MAHARASHTRA
VSBL0000007,"The Vishweshwar Sahakari Bank Ltd., Pune",VSBL0000007,411335008,PAUD ROAD,"UNNATTI BUNGLOW, LOKMANYA COLONY, NEAR KINARA HOTEL, PAUD ROAD,KOTHKRUD, PUNE 411 029",9881909707,PUNE,PUNE,MAHARASHTRA
VSBL0000008,"The Vishweshwar Sahakari Bank Ltd., Pune",VSBL0000008,413335201,BARSHI,"2219, VELAPURKAR  MAHARAJ MATH,BHAVAN ,GANESH ROAD,BARSHI, DIST.SOLAPUR",9881909708,BARSHI,SOLAPUR,MAHARASHTRA
VSBL0000009,"The Vishweshwar Sahakari Bank Ltd., Pune",VSBL0000009,411335009,VIJAYANAGAR,"2134, SADASHIV PETH,VIJAYANAGAR COLONY,NEAR GIRIJA HOTEL,PUNE 411030 ",9881909709,PUNE,PUNE,MAHARASHTRA
VSBL0000010,"The Vishweshwar Sahakari Bank Ltd., Pune",VSBL0000010,411335010,SINHAGAD ROAD,"35/2/2, KALAMBE COMPLEX, SINHGAD ROAD., VADGAON BK.,OPP. INDIAN HUME PIPE CO., PUNE- 411 051",9881909710,PUNE,PUNE,MAHARASHTRA
VSBL0000011,"The Vishweshwar Sahakari Bank Ltd., Pune",VSBL0000011,411335011,ERANDWANA,"PATIL ARCADE', PLOT NO.15 A,SHOP NO.16,17 & 18,ERANDWANE, PUNE 411 004",9881909711,PUNE,PUNE,MAHARASHTRA
VSBL0000012,"The Vishweshwar Sahakari Bank Ltd., Pune",VSBL0000012,411335012,SOMWAR PETH,"SHRI GANESH COMPLEX, 15TH AUGUST CHOWK,NEAR LADKAT PETROL PUMP,PUNE  411011",9881909712,PUNE,PUNE,MAHARASHTRA
VSBL0000013,"The Vishweshwar Sahakari Bank Ltd., Pune",VSBL0000013,411335013,BUDHAWAR PETH,"680, BUDHWAR PETH,OPP JOGESHWARI MANDIR,APPA BALWANT CHOWK,PUNE 411 002",9881909713,PUNE,PUNE,MAHARASHTRA
VSBL0000014,"The Vishweshwar Sahakari Bank Ltd., Pune",VSBL0000014,411335014,BHOSARI," VISHWESHWAR INDUSTRIAL PREMISES CO.OP.SOC. LTD; SECTOR NO.7, PLOT NO.134/135, PRADHIKARAN,OPP. TIMES OF INDIA, BHOSARI,PUNE 411026",9881909714,PUNE,PUNE,MAHARASHTRA
VSBL0000015,"The Vishweshwar Sahakari Bank Ltd., Pune",VSBL0000015,411335015,NAGAR ROAD,"PLATINUM CLASSIC,UNIT 8, S.NO. 50/2, KHARADI, PUNE- NAGAR ROAD,PUNE-411014",9881909715,PUNE,PUNE,MAHARASHTRA
VSBL0000016,"The Vishweshwar Sahakari Bank Ltd., Pune",VSBL0000016,591335302,NIPANI,"ASHOKNAGAR, NIPANI , TAL. CHIKODI, DIST. BELGUM, STATE KARANATAKA -591237",9881909736,NIPANI,BELGAUM,KARNATAKA
VSBL0000018,"The Vishweshwar Sahakari Bank Ltd., Pune",VSBL0000018,411335016,WARJE,"SHOP NO.3,4, BWING, KAKADE PLAZA PHASE 2,WARJE PUNE- 411052",9881909718,PUNE,PUNE,MAHARASHTRA
VSBL0000019,"The Vishweshwar Sahakari Bank Ltd., Pune",VSBL0000019,411335017,CHAKAN,"HOTEL SAVERA COMPOUND,  TALEGOAN CHOWK, PUNE NASIK ROAD, CHAKAN, TAL. KHED, DIST PUNE 410 501",9881909719,PUNE,PUNE,MAHARASHTRA
VSBL0000020,"The Vishweshwar Sahakari Bank Ltd., Pune",VSBL0000020,411335018,PIMPALE SAUDAGAR,"SHOP NO. 11, “DIVYA HEIGHTS”, SURVEY NO.5,RAHATANI, PIMPALE SAUDAGAR, PUNE  411 017",9881909735,PUNE,PUNE,MAHARASHTRA
VSBL0000099,"The Vishweshwar Sahakari Bank Ltd., Pune",VSBL0000099,411335005,GANESH PETH,"45/46, RAVIWAR PETH,KASTURE CHOWK,PUNE 411002",9881909701,PUNE,PUNE,MAHARASHTRA
