ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT,CITY,DISTRICT,STATE
CITI0000001,CITI Bank,CITI0000001,700037002,KOLKATA,"KANAK BUILDING, 41, CHOWRINGHEE ROAD, KOLKATA - 700071",,KOLKATA,KOLKATA,WEST BENGAL
CITI0000002,CITI Bank,CITI0000002,110037002,NEW DELHI,"JEEVAN BHARTI BUILDING, 124, CONNAUGHT CIRCUS, NEW DELHI - 110001",,DELHI,NEW DELHI,DELHI
CITI0000003,CITI Bank,CITI0000003,600037002,CHENNAI,"NO. 2, CLUB HOUSE ROAD, CHENNAI - 600002",,CHENNAI,CHENNAI,TAMIL NADU
CITI0000004,CITI Bank,CITI0000004,560037002,BANGALORE,"506-507, LEVEL 5, PRESTIGE MERIDIAN 2, # 30 M G ROAD, BANGALORE - 560001",,BANGALORE,BANGALORE URBAN,KARNATAKA
CITI0000005,CITI Bank,CITI0000005,411037001,PUNE,"2413, KUMAR CAPITAL, EAST STREET, PUNE 411 001",,PUNE,PUNE,MAHARASHTRA
CITI0000006,CITI Bank,CITI0000006,500037002,HYDERABAD,"G-PULLA REDDY BUILDING, NORTH WING, GREENLANDS ROAD, BEGUMPET, HYDERABAD - 500016",,HYDERABAD,HYDERABAD URBAN,ANDHRA PRADESH
CITI0000007,CITI Bank,CITI0000007,380037002,AHMEDABAD,"REMBRANDT, C G ROAD, NEAR PANCHVATI CIRCLE, AHMEDABAD - 380006",,AHMEDABAD,AHMEDABAD,GUJARAT
CITI0000008,CITI Bank,CITI0000008,390037002,BARODA,"PELICAN, 1ST FLOOR, OPP. RACE COURSE TOWERS, GOTRI ROAD, BARODA 390007",,VADODARA,VADODARA,GUJARAT
CITI0000009,CITI Bank,CITI0000009,302037002,JAIPUR,"BHAGWATI BHAVAN, GOVT. HOSTEL CROSSING, M.I ROAD, JAIPUR - 302001",,JAIPUR,JAIPUR,RAJASTHAN
CITI0000010,CITI Bank,CITI0000010,141037002,LUDHIANA,"CITIBANK NA,GROUND FLOOR, LUDHIANA STOCK EXCHANGE BUILDING,FEROZ GANDHI MARKET,LUDHIANA - 141001",,LUDHIANA,LUDHIANA,PUNJAB
CITI0000011,CITI Bank,CITI0000011,641037002,COIMBATORE,"TRISTAR TOWERS, 657 AVINASHI ROAD, COIMBATORE 641 037",,COIMBATORE,COIMBOTORE,TAMIL NADU
CITI0000012,CITI Bank,CITI0000012,682037002,COCHIN,"PHOTOFAST HS., DOOR NO.38/1581, MG ROAD, PADMA JUNCTION, COCHIN 682035",,KOCHI,ERNAKULAM,KERALA
