ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT,CITY,DISTRICT,STATE
JSBL0000002,Jankalyan Sahakari Bank Ltd,JSBL0000002,400105020,FORT,"22 AND 23,MAHINDRA CHEMABERS, 1ST FLOOR, DR.D.N..RAOD. FORT MUMBAI-400 001.",,MUMBAI,GREATER MUMBAI,MAHARASHTRA
JSBL0000003,Jankalyan Sahakari Bank Ltd,JSBL0000003,400105003,VIKHROLI,"PARKSITE COLONY, MUNICIPAL COMPOUND, VIKHROLI (W), MUMBAI – 79",,MUMBAI,GREATER MUMBAI,MAHARASHTRA
JSBL0000004,Jankalyan Sahakari Bank Ltd,JSBL0000004,400105004,JUHU,"VIDYANIDHI SCHOOL BUILDING, JVPD SCHEME, VILE PARLE (W), MUMBAI 49",,MUMBAI,GREATER MUMBAI,MAHARASHTRA
JSBL0000005,Jankalyan Sahakari Bank Ltd,JSBL0000005,400105005,SION,"VITHOBA RAKHUMAI MANDIR TRUST BLGD. SION CIRCLE, SION (W), MUMBAI – 22",,MUMBAI,GREATER MUMBAI,MAHARASHTRA
JSBL0000006,Jankalyan Sahakari Bank Ltd,JSBL0000006,400105006,BHANDUP,"PLOT NO.37, SHREE NIWAS, DATAR COLONY, BHANDUP (E), MUMBAI – 78",,MUMBAI,GREATER MUMBAI,MAHARASHTRA
JSBL0000007,Jankalyan Sahakari Bank Ltd,JSBL0000007,400105007,MULUND WEST,"GOLE BUNGLOW, NETAJI SUBHASH ROAD, MULUND (W), MUMBAI – 80",,MUMBAI,GREATER MUMBAI,MAHARASHTRA
JSBL0000008,Jankalyan Sahakari Bank Ltd,JSBL0000008,400105008,GHATKOPAR WEST,"MOTI MAHAL, M.G.ROAD, GHATKOPAR (W), MUMBAI – 86,",,MUMBAI,GREATER MUMBAI,MAHARASHTRA
JSBL0000010,Jankalyan Sahakari Bank Ltd,JSBL0000010,400105010,SAHAR,"AJIT NAGAR, SAHAR VILLAGE, ANDHERI (E), MUMBAI – 69",,MUMBAI,GREATER MUMBAI,MAHARASHTRA
JSBL0000011,Jankalyan Sahakari Bank Ltd,JSBL0000011,400105011,CHEMBUR,"OLD BARRAK NO. T-107, SINDHI CAMP, GANDHI BAZAR, CHEMBUR, MUMBAI – 74",,MUMBAI,GREATER MUMBAI,MAHARASHTRA
JSBL0000012,Jankalyan Sahakari Bank Ltd,JSBL0000012,400105012,KHAR,"701, KALA KUNJ, LINKING ROAD, NEAR TELEPHONE EXCHANGE, KHAR MUMBAI – 52",,MUMBAI,GREATER MUMBAI,MAHARASHTRA
JSBL0000013,Jankalyan Sahakari Bank Ltd,JSBL0000013,400105013,MALAD,"HEMAL CO. OP. HOUSING SOC. LTD., FLAT NO. 8-4/5, KHARDI POST OFFICE, MALAD (W) MUMBAI 95",,MUMBAI,GREATER MUMBAI,MAHARASHTRA
JSBL0000014,Jankalyan Sahakari Bank Ltd,JSBL0000014,400105014,ANTOP HILL,"KALPAK ESTATE, BUILDING A-4, SETH MISTRI ROAD, ANTOP HILL.",,MUMBAI,GREATER MUMBAI,MAHARASHTRA
JSBL0000015,Jankalyan Sahakari Bank Ltd,JSBL0000015,400105015,MULUND EAST,"AMBIKA CO. OP. HSG. SOC. LTD., SHOP NO. 1,2 & 8, PHADKE ROAD, SAHANI CHOWK, MULUND (E), MUMBAI – 81",,MUMBAI,GREATER MUMBAI,MAHARASHTRA
JSBL0000016,Jankalyan Sahakari Bank Ltd,JSBL0000016,400105016,KANNAMWAR NAGAR,"SAI SHRADHA APT. ‘B’ WING, BEHIND VIKHROLI BUS DEPOT, VIKHROLI (E), MUMBAI – 83",,MUMBAI,GREATER MUMBAI,MAHARASHTRA
JSBL0000017,Jankalyan Sahakari Bank Ltd,JSBL0000017,400105017,ANDHERI,"RATAN NAGAR APT., FOUR BUNGLOW ROAD, MUMBAI – 400 058.",,MUMBAI,GREATER MUMBAI,MAHARASHTRA
JSBL0000018,Jankalyan Sahakari Bank Ltd,JSBL0000018,400105018,SINDHI SOCIETY,"VIVEKANAND HIGH SCHOOL BLDG. SINDHI SOC. CHEMBUR, MUMBAI – 71",,MUMBAI,GREATER MUMBAI,MAHARASHTRA
JSBL0000019,Jankalyan Sahakari Bank Ltd,JSBL0000019,400105019,SAKINAKA,"UNIT NO. 14 NEELKANTH UDYOG BHAVAN PREMISE CO. OP. SOC. LTD., 1ST FLOOR, SAKINAKA JUNCTION, MUMBAI – 72",,MUMBAI,GREATER MUMBAI,MAHARASHTRA
