ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT,CITY,DISTRICT,STATE
IDIB000A001,Indian Bank,IDIB000A001,518019003,ADONI,"15/472 GOSHA HOSPITAL, ADONI, KURNOOL DISTRICT , ANDHRA PRADESH   PIN 518301",,ADONI,KURNOOL,ANDHRA PRADESH
IDIB000A002,Indian Bank,IDIB000A002,600019002,ADYAR,91 FIRST MAIN RD                   GANDHI NAGAR                       ADYAR                                        600020,,CHENNAI,CHENNAI,TAMIL NADU
IDIB000A003,Indian Bank,IDIB000A003,282019007,AGRA,E 11/B PRATEEK CENTRE SANJAY PALACE AGRA 202002,,AGRA,AGRA,UTTAR PRADESH
IDIB000A004,Indian Bank,IDIB000A004,380019002,AHMEDABAD MAIN,MISSION ROAD BHADRA AHMEDABAD 380 001,,AHMEDABAD,AHMEDABAD,GUJARAT
IDIB000A005,Indian Bank,IDIB000A005,641019012,AVINASHILINGAM DEEMED UNIVERSITY CAMPUS,1117  METTUPALAYAM ROAD     AVINASHILINGAM DEEMED UNIVERSITY CAMPUS  COIMBATORE         641043,,COIMBATORE,COIMBOTORE,TAMIL NADU
IDIB000A006,Indian Bank,IDIB000A006,305019091,AJMER,JAIPUR ROAD AJMER 305001,,AJMER,AJMER,RAJASTHAN
IDIB000A007,Indian Bank,IDIB000A007,678019007,AKATHETHARA,177/6 MALAMPUZHA ROAD AKATHETHARA PALAKKAD 678008,,AKATHETHARA,PALAKKAD,KERALA
IDIB000A008,Indian Bank,IDIB000A008,630019097,ALAGAPPA COLLEGE CAMPUS,14 STADIUM ROAD ALAGAPPA COLLEGE CAMPUS ALAGAPPAPURAM 630003,,KARAIKUDI,SIVAGANGA,TAMIL NADU
IDIB000A009,Indian Bank,IDIB000A009,636019009,ALAGASAMUDRAM,15/9 TARAMANGALAM MAIN ROAD ALGASAMUDRAM SALEM 636013,,ALAGASAMUDRAM,SALEM,TAMIL NADU
IDIB000A010,Indian Bank,IDIB000A010,533019087,ALAMURU,11/85 NEKKANTIVARI STREET ALAMURU 533233,,ALAMURU,EAST GODAVARI,ANDHRA PRADESH
IDIB000A011,Indian Bank,IDIB000A011,700019002,ALIPORE ROAD,"22/1, ALIPORE ROAD                 VANDANA APARTMENT                  KOLKATA                                      700027",,KOLKATA,KOLKATA,WEST BENGAL
IDIB000A012,Indian Bank,IDIB000A012,688019005,ALAPPUZHA,"P.B. NO.3814, MULLAKAL, ALAPUZHA P.O., ALAPPUZHA DIST.  PIN 688011",,ALAPPUZHA,ALAPUZZHA,KERALA
IDIB000A013,Indian Bank,IDIB000A013,600019003,ALWARPET,NO.9                               ELDAMS ROAD                        ALWARPET                                     600018,,CHENNAI,CHENNAI,TAMIL NADU
IDIB000A014,Indian Bank,IDIB000A014,682019009,ALUVA,KAP COMMERCIAL CENTRE    RAILWAY STATION ROAD          ALUVA     ERNAKULAM     683101,,ALUVA,ERNAKULAM,KERALA
IDIB000A015,Indian Bank,IDIB000A015,133019091,AMBALA CANTT.,ANANT BUILDING                     RAI MARKET                         SADAR BAZAR                                  133001,,AMBALA CANTT.,AMBALA,HARYANA
IDIB000A016,Indian Bank,IDIB000A016,635019090,AMBUR,21/11  OOMER  ROAD        AMBUR      VELLORE DISTRICT      TAMIL NADU          635802,,AMBUR,VELLORE,TAMIL NADU
IDIB000A017,Indian Bank,IDIB000A017,631019009,AMMAYARKUPPAM,3/129 GANDHI ROAD AMMAYARKUPPAM KANCHEEPURAM TIRUVALLUR 631301,,AMMAYARKUPPAM,TIRUVALLUR,TAMIL NADU
IDIB000A018,Indian Bank,IDIB000A018,632019010,AMOOR,20/1 BAZAAR STREET AMMOOR VELLORE 632501,,AMMOOR,VELLORE,TAMIL NADU
IDIB000A019,Indian Bank,IDIB000A019,143019002,AMRITSAR,"42, CHOWK FARID, KATRA SHER SINGH,  AMRITSAR  PIN 143001",,AMRITSAR,AMRITSAR,PUNJAB
IDIB000A020,Indian Bank,IDIB000A020,530019102,ANAKAPALLI,MAIN ROAD ANAKAPALLI 531001,,ANAKAPALLE,VISHAKAPATNAM,ANDHRA PRADESH
IDIB000A021,Indian Bank,IDIB000A021,388019002,ANAND,"NO.5/8/14   STATION ROAD, ANAND,  PIN 388001",,ANAND,ANAND,GUJARAT
