ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT,CITY,DISTRICT,STATE
NKGS0000001,NKGSB Cooperative Bank Ltd,NKGS0000001,400086001,HEAD OFFICE,"361, LAXMI SADAN, V.P. ROAD, GIRGAUM, MUMBAI-400004",,022-67545039,MUMBAI,GREATER MUMBAI
NKGS0000002,NKGSB Cooperative Bank Ltd,NKGS0000002,400086002,GIRGAUM BRANCH,"361, LAXMI SADAN, V.P. ROAD, GIRGAUM, MUMBAI-400004",,022-67545052,MUMBAI,GREATER MUMBAI
NKGS0000003,NKGSB Cooperative Bank Ltd,NKGS0000003,400086003,DADAR,"SAMVED, S.K. BOLE ROAD, DADAR, MUMBAI-400028",,022-24224103,MUMBAI,GREATER MUMBAI
NKGS0000004,NKGSB Cooperative Bank Ltd,NKGS0000004,400086004,MAHIM,"JAGRUTI CHS LTD., L.J. ROAD, MAHIM, MUMBAI-400016,",,022-24458584,MUMBAI,GREATER MUMBAI
NKGS0000005,NKGSB Cooperative Bank Ltd,NKGS0000005,400086005,BANDRA(E),"ZAPURZA, SAHITYA SAHAWAS, KALANAGAR, BANDRA (E), MUMBAI-400051, STATE-MAHARASHTRA",,022-26590454,MUMBAI,GREATER MUMBAI
NKGS0000006,NKGSB Cooperative Bank Ltd,NKGS0000006,400086006,JOGHESHWARI,"SHREE NIKETAN, HINDU FRIENDS SOCIETY ROAD, MUMBAI-400060, STATE-MAHARASHTRA.",,022-28248543,MUMBAI,GREATER MUMBAI
NKGS0000007,NKGSB Cooperative Bank Ltd,NKGS0000007,400086007,DAHISAR(W),"JAI SHREE RANCHODDHAM, L.T.ROAD, DAHISAR (W), MUMBAI-400068, STATE- MAHARASHTRA",,022-28924606,MUMBAI,GREATER MUMBAI
NKGS0000008,NKGSB Cooperative Bank Ltd,NKGS0000008,400086008,DEONAR,"MEGHDOOT, DEONAR VILLAGE ROAD, MUMBAI-400088",,022-25551306,MUMBAI,GREATER MUMBAI
NKGS0000009,NKGSB Cooperative Bank Ltd,NKGS0000009,400086009,MULUND(E),"SATNAM APARTMENTS, L.T. ROAD, MULUND (E), MUMBAI-400068, STATE- MAHARASHTRA",,022-21633836,MUMBAI,GREATER MUMBAI
NKGS0000010,NKGSB Cooperative Bank Ltd,NKGS0000010,400086010,C.B.D.,"PRABHAT CENTRE, 1ST FLOOR, C.B.D., NAVI MUMBAI-400611",,022-27571893,THANE,THANE
