ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT,CITY,DISTRICT,STATE
ANDB0000001,Andhra Bank,ANDB0000001,534011514,ACHANTA,"11-57/104, MAIN ROAD, ACHANTA-534123",08814-236232,ACHANTA,WEST GODAVARI,ANDHRA PRADESH
ANDB0000002,Andhra Bank,ANDB0000002,NON-MICR,ADONI,"MAIN ROAD, ADONI- 518301 AP KURNOOL DIST",M MANOHARA-8512-252270,KURNOOL,KURNOOL,ANDHRA PRADESH
ANDB0000003,Andhra Bank,ANDB0000003,NON-MICR,AGRIPALLI,"AGRIPALLI,AGRIPALLI MANDAL,KRISHNA DIST.AP",SVS HARI RAM - 0865-224226,AGIRIPALLI,KRISHNA,ANDHRA PRADESH
ANDB0000004,Andhra Bank,ANDB0000004,380011002,AHMEDABAD,"MANILAL MANSION, RAILWAY PURA, AHMEDABAD",B.R. BHATT 079-26460638,AHMEDABAD,AHMEDABAD,GUJARAT
ANDB0000005,Andhra Bank,ANDB0000005,534011408,AKIVEEDU,"MAIN RAOD, AKIVEEDU, WG DT.AP - 5342345",MKM MOHINUDDIN 08816-252243,AKIVIDU,WEST GODAVARI,ANDHRA PRADESH
ANDB0000006,Andhra Bank,ANDB0000006,NON-MICR,ALAMURU,"MAIN RAOD,ALAMURU, EG DT.AP - 533 233",K.UMAMAHESWARA RAO - 08855-278,ALAMURU,EAST GODAVARI,ANDHRA PRADESH
ANDB0000007,Andhra Bank,ANDB0000007,NON-MICR,AMUDALAVALASA,"MAIN RAOD, AMUDALAVALASA - 532185",K.S.SASTRY - 08142-286230,AMADALAVALASA,SRIKAKULAM,ANDHRA PRADESH
ANDB0000008,Andhra Bank,ANDB0000008,NON-MICR,AMALAPURAM,"3-1-440, KUCHIMANCHI VARI STREET, MAIN RAOD, AMALAPURAM",N MALLAVADHANULU - 08856-23183,AMALAPURAM,EAST GODAVARI,ANDHRA PRADESH
ANDB0000009,Andhra Bank,ANDB0000009,NON-MICR,AMARAVATHI,"MAIN RAOD,AMARAVATHI, GUNTUR DIST. AP 522020",P RAJASEKHAR - 0864-255228,AMARAVATHI,GUNTUR,ANDHRA PRADESH
ANDB0000010,Andhra Bank,ANDB0000010,522011563,AMARTHALUR,"MAIN ROAD, AMARTHALURU MANDAL, GUNTUR DT., AP PIN - 522325",08644 - 255229,AMARTHALUR,GUNTUR,ANDHRA PRADESH
