ID,BANK NAME,IFSC_CODE,MICR_CODE,BRANCH_NAME,POSTAL ADDRESS,CONTACT NO/FAX NO,CENTRE/CITY,DISTRICT,STATE
KACE0000054,The Kangra Central Cooperative Bank Ltd,KACE0000054,176850119,PANCHRUKHI,TEHSIL PALAMPUR DISTT. KANGRA H.P. 176103,SH. SURINDER MOHAN,PANCHRUKHI,KANGRA,HIMACHAL PRADESH
KACE0000055,The Kangra Central Cooperative Bank Ltd,KACE0000055,174850114,RAIPUR MAIDAN,TESHIL & DSITT. UNA H.P.,SH. SOHAN SINGH,RAIPUR MAIDAN,UNA,HIMACHAL PRADESH
KACE0000056,The Kangra Central Cooperative Bank Ltd,KACE0000056,176850161,JWALAMUKHI,TEHSILDEHRA DISTT. KANGRA H.P. 176031,SH. BHURI SINGH,JWALAMUKHI,KANGRA,HIMACHAL PRADESH
KACE0000057,The Kangra Central Cooperative Bank Ltd,KACE0000057,176850174,DANOA,VILL DANOA P.O. BAROH DISTT KANGRA 176054,SH. KIKKAR SINGH,DANOA,KANGRA,HIMACHAL PRADESH
KACE0000058,The Kangra Central Cooperative Bank Ltd,KACE0000058,176850168,GAGGAL,V PO GAGGAL DISTT KANGRA H.P.,SMT PUSHAP RENU,GAGGAL,KANGRA,HIMACHAL PRADESH
KACE0000059,The Kangra Central Cooperative Bank Ltd,KACE0000059,176850120,THURAL,TESHIL PALAMPUR DISTT. KANGRA H.P. 176107,SH. ASWANI KUMAR,THURAL,KANGRA,HIMACHAL PRADESH
KACE0000060,The Kangra Central Cooperative Bank Ltd,KACE0000060,176850155,SANSARPUR TERRACE,VPO SANSARPUR TERRACE TEHSIL JASWAN DISTT. KANGRA H.P.176501,SH. SANJEEV SINGH,SANSARPUR TERRACE,KANGRA,HIMACHAL PRADESH
KACE0000061,The Kangra Central Cooperative Bank Ltd,KACE0000061,177850004,BHOTA,VPO BHOTA DISTT. HAMIRPUR H.P.,SH. RAJ KUMAR SHARMA,BHOTA,HAMIRPUR,HIMACHAL PRADESH
KACE0000062,The Kangra Central Cooperative Bank Ltd,KACE0000062,175850008,SAINJ,"SAINJ, V.P.O:- SAINJ, TEHSIL:- SAINJ, DISTRICT:- KULLU. (H.P). PIN:- 175134.",SH. ANOOP RAM,SAINJ,KULLU,HIMACHAL PRADESH
KACE0000063,The Kangra Central Cooperative Bank Ltd,KACE0000063,177850005,ANOO,VPO ANOO DISTT. HAMIRPUR,SH. RIKHI RAM,ANOO,HAMIRPUR,HIMACHAL PRADESH
KACE0000064,The Kangra Central Cooperative Bank Ltd,KACE0000064,,SHANSHA,TESHIL KEYLONG DISTT. LAHUL & SPITI H.P.,SH. SON DEV.,SHANSHA,LAHUL & SPITI,HIMACHAL PRADESH
KACE0000065,The Kangra Central Cooperative Bank Ltd,KACE0000065,177850016,BARA,VPO BARA DISTT. KANGRA H.P.,SH. BASHIR MOHMMAD,BARA,HAMIRPUR,HIMACHAL PRADESH
KACE0000066,The Kangra Central Cooperative Bank Ltd,KACE0000066,176850162,CHANOUR,TESHIL DEHRA DISTT. KANGRA H.P. 177113,SH. BALDEV SINGH,CHANAUR,KANGRA,HIMACHAL PRADESH
KACE0000067,The Kangra Central Cooperative Bank Ltd,KACE0000067,,PANJAWAR,VPO PANJAWAR TEHSIL HAROLI DISTT UNA H.P. 177208,SH. BALDEV SINGH,PANJAWAR,UNA,HIMACHAL PRADESH
KACE0000069,The Kangra Central Cooperative Bank Ltd,KACE0000069,176850078,SADWAN,TEHSIL NURPUR DISTT.KANGRA H.P. 176202,SH. SURJEET SINGH,SADWAN,KANGRA,HIMACHAL PRADESH
KACE0000070,The Kangra Central Cooperative Bank Ltd,KACE0000070,176850105,BIR,TESHIL BAIJNATH DSITT. KANGRA H.P. 175041,SH. DESH RAJ,BIR,KANGRA,HIMACHAL PRADESH
KACE0000071,The Kangra Central Cooperative Bank Ltd,KACE0000071,176850059,SATHANA,TESHIL FATEHPUR DISTT. KANGRA H.P. 176025,SH. ONKAR CHAND,SATHANA,KANGRA,HIMACHAL PRADESH
KACE0000072,The Kangra Central Cooperative Bank Ltd,KACE0000072,177850006,LAMBLOO,TEHSIL & DISTT. HAMIRPUR H.P. 177029,SH. JOGINDER PAL,LAMBLOO,HAMIRPUR,HIMACHAL PRADESH
KACE0000073,The Kangra Central Cooperative Bank Ltd,KACE0000073,176850163,PRAGPUR,TESHIL DEHRA DISTT. KANGRA H.P. 177107,SH. BHUBAN CHANDER,PRAGPUR,KANGRA,HIMACHAL PRADESH
KACE0000074,The Kangra Central Cooperative Bank Ltd,KACE0000074,175850009,DALASH,"DALASH, V.P.O:- DALASH, TEHSIL:- ANNI, DISTRICT:- KULLU. (H.P). PIN:- 172025.",SH. RAMESH CHAND VERMA,DALASH,KULLU,HIMACHAL PRADESH
KACE0000075,The Kangra Central Cooperative Bank Ltd,KACE0000075,176850071,KB DHARAMSHALA,KOTWALI BAZAR DHARMSALA DISTT KANGRA 176215,SH. N.K. CHADHA,DHARAMSALA,KANGRA,HIMACHAL PRADESH
KACE0000076,The Kangra Central Cooperative Bank Ltd,KACE0000076,176850060,INDORA,TESHIL INDORA DISTT. KANGRA H.P. 176401,SMT. NEETA CHAUHAN,INDORA,KANGRA,HIMACHAL PRADESH
KACE0000077,The Kangra Central Cooperative Bank Ltd,KACE0000077,175850017,KATRIAN,TEHSIL & DISTT. KULLU H.P. 175129,SMT. KUSUM LATA,KATRAIN,KULLU,HIMACHAL PRADESH
KACE0000079,The Kangra Central Cooperative Bank Ltd,KACE0000079,174850152,MEHATPUR,TESHIL & DISTT. UNA H.P. 174315,SMT. NEELAM SHARMA,MEHATPUR,UNA,HIMACHAL PRADESH
KACE0000081,The Kangra Central Cooperative Bank Ltd,KACE0000081,176850121,NAGRI,TESHIL PALAMPUR DISTT. KANGRA H.P. 176059,SH. O.P.MEHTA,CHICHIAN,KANGRA,HIMACHAL PRADESH
KACE0000082,The Kangra Central Cooperative Bank Ltd,KACE0000082,176850106,DEOL,TESHIL BAIJNATH DSITT. KANGRA H.P. 176125,SMT. SUMAN KUMARI,DEOL KHAS,KANGRA,HIMACHAL PRADESH
KACE0000083,The Kangra Central Cooperative Bank Ltd,KACE0000083,176850115,KHUNDIAN,TESHIL KHUNDIAN DISTT. KANGRA H.P. 176030,SH. VINAY KUMAR,KHUNDIAN,KANGRA,HIMACHAL PRADESH
KACE0000084,The Kangra Central Cooperative Bank Ltd,KACE0000084,176850122,WAHE-DA-PATT,TEHSIL PALAMPUR DIST. KANGRA H.P.176086,SH. ISHWAR DASS,KHAIRA,KANGRA,HIMACHAL PRADESH
KACE0000085,The Kangra Central Cooperative Bank Ltd,KACE0000085,177850022,PATTA,TESHIL & DISTT. HAMIRPUR H.P. 173233,SH. SUNIL KUMAR,PATTA,HAMIRPUR,HIMACHAL PRADESH
KACE0000086,The Kangra Central Cooperative Bank Ltd,KACE0000086,176850107,JAISINGHPUR,TESHIL JAISINGHPUR DISTT. KANGRA H.P. 176095,SH. BALWINDER SINGH,JAISINGHPUR,KANGRA,HIMACHAL PRADESH
KACE0000087,The Kangra Central Cooperative Bank Ltd,KACE0000087,174850106,DUSHARA,TESHIL & DISTT. UNA 174302,SH. KAMALJIT,UNA,UNA,HIMACHAL PRADESH
KACE0000088,The Kangra Central Cooperative Bank Ltd,KACE0000088,176850067,SHAHPUR,V PO SHAHPUR DISTT KANGRA H.P.,SH AMODH GURANG,SHAHPUR,KANGRA,HIMACHAL PRADESH
KACE0000089,The Kangra Central Cooperative Bank Ltd,KACE0000089,177850023,TAUNI DEVI,TEHSIL & DISTT. HAMIRPUR 177023,SH. NAND KISHORE,TAUNIDEVI,HAMIRPUR,HIMACHAL PRADESH
KACE0000091,The Kangra Central Cooperative Bank Ltd,KACE0000091,176850108,PAPROLA,TESHIL BAIJNATH DISTT. KANGRA H.P. 176115,SH. ASWANI KUMAR,PAPROLA,KANGRA,HIMACHAL PRADESH
KACE0000092,The Kangra Central Cooperative Bank Ltd,KACE0000092,176850062,DAMTAL,TESHIL INDORA DISTT KANGRA H.P. 176403,SH. VINAY KAPOOR,DAMTAL,KANGRA,HIMACHAL PRADESH
KACE0000093,The Kangra Central Cooperative Bank Ltd,KACE0000093,176850123,BHAWARNA,TESHIL PALAMPUR DISTT. KANGRA H.P. 176083,SH. RAJAN MEHTA,BHAWARNA,KANGRA,HIMACHAL PRADESH
KACE0000094,The Kangra Central Cooperative Bank Ltd,KACE0000094,177850024,PANJOT,TEHSIL & DISTT. HAMIRPUR H.P. 177029,SH. YOGESH KUMAR,PANJOT,HAMIRPUR,HIMACHAL PRADESH
KACE0000096,The Kangra Central Cooperative Bank Ltd,KACE0000096,174850109,GOVT. COLLEGE UNA,TEHSIL & DISTT. UNA H.P. 174303,SH. DILBAG SINGH,UNA,UNA,HIMACHAL PRADESH
KACE0000097,The Kangra Central Cooperative Bank Ltd,KACE0000097,176850169,BAGLI,V POBAGLI DISTT KANGRA H.P.,SH ARUN PARASHAR,BAGLI,KANGRA,HIMACHAL PRADESH
KACE0000098,The Kangra Central Cooperative Bank Ltd,KACE0000098,177850018,BANI,VPO BANI DISTT HAMIRPUR,SH. DALIP SINGH,BANI,HAMIRPUR,HIMACHAL PRADESH
KACE0000099,The Kangra Central Cooperative Bank Ltd,KACE0000099,175850018,GANDHI NAGAR,KULLU DISTT. KULLU H.P.,SH. RAJINDER SINGH,KULLU,KANGRA,HIMACHAL PRADESH
KACE0000100,The Kangra Central Cooperative Bank Ltd,KACE0000100,176850068,CHARRI,V PO CHARRI DISTT KANGRA H.P.,SH KULTAR MANKOTIA,CHARI,KANGRA,HIMACHAL PRADESH
KACE0000101,The Kangra Central Cooperative Bank Ltd,KACE0000101,177850007,DIDWIN TIKKAR,TEHSIL BARSAR DSITT. HAMIRPUR H.P.177401,SH. BIKRAM CHAUHAN,DIDHWIN,HAMIRPUR,HIMACHAL PRADESH
KACE0000102,The Kangra Central Cooperative Bank Ltd,KACE0000102,176850109,CHADIAR,TEHSIL BAIJNATH DISTT. KANGRA 176088,SH. HARISH KUMAR,CHADIHYAR,KANGRA,HIMACHAL PRADESH
KACE0000105,The Kangra Central Cooperative Bank Ltd,KACE0000105,176850175,PATHIAR,V.P.O. PATHIAR DISTT. KANGRA H.P. 176047,SH. AYODHYA KUMAR,PATHIAR,KANGRA,HIMACHAL PRADESH
KACE0000107,The Kangra Central Cooperative Bank Ltd,KACE0000107,175850019,RAISON,TEHSIL & DISTT KULLU H.P. 175128,SH. NARESH KUMAR,RAISON,KULLU,HIMACHAL PRADESH
KACE0000108,The Kangra Central Cooperative Bank Ltd,KACE0000108,175850012,BAJAURA,TEHSIL & DISTT KULLU H.P. 175125,SMT NAWANG DOLMA,BAJAURA,KULLU,HIMACHAL PRADESH
KACE0000110,The Kangra Central Cooperative Bank Ltd,KACE0000110,175850020,SAJALA AT KHAKNAL,TEHSIL & DISTT. KANGRA H.P. 175143,SH. HARI SINGH,SAJLA,KULLU,HIMACHAL PRADESH
KACE0000111,The Kangra Central Cooperative Bank Ltd,KACE0000111,176850170,GHAHLIAN,TEHSIL & DISTT. KANGRA H.P.176029,S. PARMINDER PATIYAL,GAHLIAN,KANGRA,HIMACHAL PRADESH
KACE0000112,The Kangra Central Cooperative Bank Ltd,KACE0000112,177850019,KANGOO,VPO KANGOO TEHSIL NADAUN DISTT. HAMIRPUR,SH. VARINDER KUMAR,KANGOO,HAMIRPUR,HIMACHAL PRADESH
