ID,BANK NAME,IFSC_CODE,MICR_CODE,BRANCH_NAME,POSTAL ADDRESS,CONTACT NO/FAX NO,CENTRE/CITY,DISTRICT,STATE
KACE0000141,The Kangra Central Cooperative Bank Ltd,KACE0000141,176850127,SYNDICATE AREA PALAMPUR,NEAR SHEETLA MATA MANDIR . SY. AREA PALAMPUR DISTT KANGRA H.P.,SH. MOHINDER RANA,PALAMPUR,KANGRA,HIMACHAL PRADESH
KACE0000142,The Kangra Central Cooperative Bank Ltd,KACE0000142,176850080,BHADWAR,TEHSIL NURPUR DISTT. KANGRA H.P.,SH. SUSHIL KUMAR,BHADWAR,KANGRA,HIMACHAL PRADESH
KACE0000143,The Kangra Central Cooperative Bank Ltd,KACE0000143,177850028,LADROUR,TEHSIL BHORANJ DISTT HAMIRPUR H.P.,SH. CHANDER SHEKHAR,LADRAUR,HAMIRPUR,HIMACHAL PRADESH
KACE0000144,The Kangra Central Cooperative Bank Ltd,KACE0000144,177850027,SAMIRPUR,TESHIL BHORANJ DISTT. HAMIRPUR H.P.,SH. NARESH KUMAR,SAMIRPUR,HAMIRPUR,HIMACHAL PRADESH
KACE0000145,The Kangra Central Cooperative Bank Ltd,KACE0000145,177850010,LOWER BAZAR HAMIRPUR,TEHSIL & DISTT. HAMIRPUR H.P. 177001,SH. RAJIV SHARMA,HAMIRPUR,HAMIRPUR,HIMACHAL PRADESH
KACE0000146,The Kangra Central Cooperative Bank Ltd,KACE0000146,176850172,JAMANABAD,V.P.O. JAMANABAD DISTT KANGRA H.P.,SH AJAY PARMAR,ZAMANABAD,KANGRA,HIMACHAL PRADESH
KACE0000147,The Kangra Central Cooperative Bank Ltd,KACE0000147,176850069,RAJOL,V.P.O. RAJOL DISTT KANGRA H.P.,SHRAVINDER CHHETRI,RAJOL,KANGRA,HIMACHAL PRADESH
KACE0000148,The Kangra Central Cooperative Bank Ltd,KACE0000148,176850128,DAROH,TEHSIL PALAMPUR DISTT. KANGRA H.P.176107,SJ. KRISHAN KUMAR,DAROH,KANGRA,HIMACHAL PRADESH
KACE0000149,The Kangra Central Cooperative Bank Ltd,KACE0000149,177850029,CHOURI,TESHIL SUJANPUR TIRA DISTT. HAMIRPUT 176111,SH. CHANDERBHUSHAN,PANOH,HAMIRPUR,HIMACHAL PRADESH
KACE0000150,The Kangra Central Cooperative Bank Ltd,KACE0000150,177850009,RANGAS,TESHIL NADAUN DIST. HAMIRPUR H.P. 177048,SH. YASHBIR SINGH,RANGAS,HAMIRPUR,HIMACHAL PRADESH
KACE0000152,The Kangra Central Cooperative Bank Ltd,KACE0000152,174850108,DULLEHAR,TEHSIL HAROLI DISTT UNA H.P. 176601,SH. DALBIR SINGH,DULEHAR,UNA,HIMACHAL PRADESH
KACE0000153,The Kangra Central Cooperative Bank Ltd,KACE0000153,176850113,MAHAKAAL,TESHIL BAIJNATH DISTT. KANGRA H.P. 176125,SH. R.S MINHAS,MAHAKAL,KANGRA,HIMACHAL PRADESH
KACE0000154,The Kangra Central Cooperative Bank Ltd,KACE0000154,,BHARWAIN,VPO BHARWAIN TEHSIL AMB DISTT UNA H.P.177109,SH. OM PARKASH,BHARWAIN,UNA,HIMACHAL PRADESH
