ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT,CITY,DISTRICT,STATE
BCBM0000002,The Bharat Cooperative Bank Ltd,BCBM0000002,400112002,MAIN BRANCH,"MEGHDOOT CHAMBERS, 85, MODY STREET, FORT,MUMBAI-400001","2267 9152,2269 0738",MUMBAI,GREATER BOMBAY,MAHARASHTRA
BCBM0000003,The Bharat Cooperative Bank Ltd,BCBM0000003,400112003,BHANDUP BRANCH,"GAUTAM UDYOG BHAVAN,1ST FLOOR,  L.B.S.MARG, BHANDUP(WEST),MUMBAI-400078","2594 7345,2594 7427",MUMBAI,GREATER BOMBAY,MAHARASHTRA
BCBM0000004,The Bharat Cooperative Bank Ltd,BCBM0000004,400112004,GOREGAON BRANCH," 'SHIVGIRI' PLOT NO.11, GROUND FLOOR, SAMANT ESTATE, GOREGAON (EAST), MUMBAI-400063.","2686 2707,2686 2705",MUMBAI,GREATER BOMBAY,MAHARASHTRA
BCBM0000005,The Bharat Cooperative Bank Ltd,BCBM0000005,400112005,CHEMBUR BRANCH,"GANGANGIRI COMPLEX, 18TH ROAD, NEAR AMBEDKAR GARDEN, CHEMBUR, MUMBAI-400071.","2528 5066,2528 7273",MUMBAI,GREATER BOMBAY,MAHARASHTRA
BCBM0000006,The Bharat Cooperative Bank Ltd,BCBM0000006,400112006,MULUND BRANCH,"NEELAM NAGAR, BLDG. NO.7, GAVANPADA, MULUND (EAST) MUMBAI-400081","2163 5597,2163 6558",MUMBAI,GREATER BOMBAY,MAHARASHTRA
BCBM0000007,The Bharat Cooperative Bank Ltd,BCBM0000007,400112007,BORIVALI BRANCH,"B(6 TO 8),  MANDAPESHWAR INDL.  PREMISES  CO-OP. SOCIETY LTD., S.V.P. ROAD, BORIVILI(WEST), MUMBAI-400092.","2892 6300,2890 6679",MUMBAI,GREATER BOMBAY,MAHARASHTRA
BCBM0000008,The Bharat Cooperative Bank Ltd,BCBM0000008,400112008,ANDHERI(WEST) BRANCH,"GALA NO. 4-E, LAXMI INDUSTRIAL ESTATE, OFF.J.P. ROAD, (NEW LINK ROAD) ANDHERI(WEST), MUMBAI 400058.","2674 2234,2674 2235",MUMBAI,GREATER BOMBAY,MAHARASHTRA
BCBM0000009,The Bharat Cooperative Bank Ltd,BCBM0000009,400112009,ANDHERI(EAST) BRANCH,"B-28, MITTAL INDUSTRIAL ESTATE, SANJAY BLDG. NO.5, M. VASANJI ROAD MAORL, ANDHERI(EAST), MUMBAI-400059.","6451 1798, 2850 4074",MUMBAI,GREATER BOMBAY,MAHARASHTRA
BCBM0000010,The Bharat Cooperative Bank Ltd,BCBM0000010,400112010,GHATKOPAR BRANCH,"103 TO 106, JYOTI CHAMBERS, 1ST FLOOR, JUNCTION OF J.V. RD. & HIRACHAND DESAI RD., GHATKOPAR (WEST) MUMBAI-400086.","2515 5347,2516 6908",MUMBAI,GREATER BOMBAY,MAHARASHTRA
BCBM0000011,The Bharat Cooperative Bank Ltd,BCBM0000011,400112011,DAHISAR BRANCH,"102, 'SAGAR', PRABHAT INDL. ESTATE, BEFORE CHECK NAKA, W.E. HIGHWAY, DAHISAR (EAST), MUMBAI-400068.","2896 3793,2896 1930",MUMBAI,GREATER BOMBAY,MAHARASHTRA
BCBM0000012,The Bharat Cooperative Bank Ltd,BCBM0000012,400112012,KALINA BRANCH,"GEESE CO-OP.HOUSING SOCIETY LTD. OPP. VIDYANAGRI UNIVERSITY COMPLEX, KALINA, SANTACRUZ (EAST), MUMBAI-400098","2665 2258,2667 0822",MUMBAI,GREATER BOMBAY,MAHARASHTRA
BCBM0000013,The Bharat Cooperative Bank Ltd,BCBM0000013,400112013,VILE PARLE BRANCH,"VIRESHWAR CHAMBERS, NEXT TO SHAAN TALKIES, OPP.PARLE BISCUIT COMPANY, VILE PARLE (EAST), MUMBAI-400057.","2616 9814, 2616 6583",MUMBAI,GREATER BOMBAY,MAHARASHTRA
BCBM0000014,The Bharat Cooperative Bank Ltd,BCBM0000014,400112014,BANDRA BRANCH,"NADABRAMHA MANDIR, GROUND FLOOR,  MADHUSUDAN KALEKAR MARG. KALANAGAR, BANDRA (EAST) MUMBAI-400051",2659 0742,MUMBAI,GREATER BOMBAY,MAHARASHTRA
BCBM0000015,The Bharat Cooperative Bank Ltd,BCBM0000015,400112015,GOVANDI BRANCH,"SAGAR APARTMENT SHOP NO.1-6, GROUND FLOOR, STATION ROAD, GOVANDI MUMBAI-400088.",2557 9505,MUMBAI,GREATER BOMBAY,MAHARASHTRA
BCBM0000016,The Bharat Cooperative Bank Ltd,BCBM0000016,400112016,KANDIVLI BRANCH,"BALAJI ARCADE, NEXT TO BUBNA HOUSE, S.V. ROAD, KANDIVILI(WEST), MUMBAI-400067.","2863 7020,2863 7059",MUMBAI,GREATER BOMBAY,MAHARASHTRA
BCBM0000017,The Bharat Cooperative Bank Ltd,BCBM0000017,400112017,THANE BRANCH,"360, NETAJI SUBHASH CHANDRA ROAD, OPP. NAGRIK STORES, THANE (WEST) 400601.","2537 6552,2537 8332",THANE,THANE,MAHARASHTRA
BCBM0000018,The Bharat Cooperative Bank Ltd,BCBM0000018,400112018,MIRAROAD BRANCH,"218, (A), A-WING, SHANTI COMMERCIAL COMPLEX, MIRA ROAD, (EAST), DIST THANE 401107.",2810 6193,THANE,THANE,MAHARASHTRA
BCBM0000019,The Bharat Cooperative Bank Ltd,BCBM0000019,400112019,BHANDUP VILLAGE ROAD BRANCH,"SIKA APARTMENTS, ORIENTAL COMPOUND, VILLAGE ROAD, BHANDUP (WEST) MUMBAI-400078.",2566 1386,MUMBAI,GREATER BOMBAY,MAHARASHTRA
BCBM0000020,The Bharat Cooperative Bank Ltd,BCBM0000020,400112020,VASHI BRANCH,"2,'F' TYPE BUILDING,SECTOR 6, VASHI, NAVI MUMBAI-400703.",2782 4385,MUMBAI,GREATER BOMBAY,MAHARASHTRA
BCBM0000021,The Bharat Cooperative Bank Ltd,BCBM0000021,400112021,DOMBIVLI BRANCH,"VIJ PRABHA COMPLEX, NEAR RLY. STATION, PATKAR ROAD, DOMBIVILI (EAST) 421201.",(95251) 2861 403,DOMBIVLI,THANE,MAHARASHTRA
BCBM0000022,The Bharat Cooperative Bank Ltd,BCBM0000022,560112002,K.H. ROAD BRANCH,"MONEY TERRACE, K.H ROAD (DOUBLE ROAD), BANGALORE 560027.",(080) 229 1942,BANGALORE,BANGALORE URBAN,KARNATAKA
