ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT,CITY,DISTRICT,STATE
KJSB0000020,The Kalyan Janata Sahakari Bank Ltd,KJSB0000020,400367020,BORIVALI(W),"SHOP-1,MOHAN PALACE COOP. HSG. SCTY., F.P.NO.199, 57TH ROAD, OPP. VEER SAVARKAR UDYAN,BHATIYA WADI, TPS III, BORIVALI WEST , MUMBAI 400092",022-28995486; AVBELE@KALYANJA,MUMBAI,GREATER BOMBAY,MAHARASHTRA
KJSB0000210,The Kalyan Janata Sahakari Bank Ltd,KJSB0000210,NON-MICR,NASIK,"VISHAL POINT,GROUNG FLOOR,S NO. 707/4/19,PLOT NO 19,SWAMISAMARTH CHOWK,GANGAPUR ROAD, NASIK- 422005.",0253-2340291,NASIK,NASIK,MAHARASHTRA
KJSB0000001,The Kalyan Janata Sahakari Bank Ltd,KJSB0000001,400367000,MAIN                                (SERVICE CENTER),"JANATA BHAVAN, 2ND FLOOR, BHARATACHARYA
VAIDYA CHOWK, KALYAN (W) - 421 301",0251-2219004,KALYAN,THANE,MAHARASHTRA
KJSB0000002,The Kalyan Janata Sahakari Bank Ltd,KJSB0000002,400367002,TILAK CHOWK,"JANATA BHAVAN, 1ST FLOOR, BHARATACHARYA
VAIDYA CHOWK, KALYAN (W) - 421 301",0251-2219030,KALYAN,THANE,MAHARASHTRA
KJSB0000003,The Kalyan Janata Sahakari Bank Ltd,KJSB0000003,400367003,RAMBAUG,"""ASHIRWAD"", RAMBAUG LANE NO. 4,
KALYAN (W) - 421 301",0251-2219002,KALYAN,THANE,MAHARASHTRA
KJSB0000004,The Kalyan Janata Sahakari Bank Ltd,KJSB0000004,400367004,KOLSEWADI,"“UTEKAR PALACE”, KOLSEWADI,
KALYAN (E)  421 306",0251-2219004,KALYAN,THANE,MAHARASHTRA
KJSB0000005,The Kalyan Janata Sahakari Bank Ltd,KJSB0000005,400367005,KALA TALAO,"""VITTHALESH"", SAHAJANAND CHOWK, AGRA ROAD, KALYAN (W) 421 301",0251-2219030,KALYAN,THANE,MAHARASHTRA
KJSB0000006,The Kalyan Janata Sahakari Bank Ltd,KJSB0000006,400367006,SYNDICATE,"“YAKUB MANZIL”, SYNDICATE, 
MURBAD ROAD, KALYAN (W)",0251-2219002,KALYAN,THANE,MAHARASHTRA
KJSB0000007,The Kalyan Janata Sahakari Bank Ltd,KJSB0000007,400367007,ULHASNAGAR-4,"“TEJWANI COMPLEX”, DAULATRAM MANGTANI
CHOWK,  SHREERAM TALKIES, ULHASNAGAR",0251-2219004,ULHASNAGAR,THANE,MAHARASHTRA
KJSB0000008,The Kalyan Janata Sahakari Bank Ltd,KJSB0000008,400367008,NETIVALI,"“DARSHAN BLDG“,  ATMARAM NAGAR, 
LOKGRAM, KALYAN (E)  421306",0251-2219030,KALYAN,THANE,MAHARASHTRA
KJSB0000009,The Kalyan Janata Sahakari Bank Ltd,KJSB0000009,400367009,BAIL BAZAR,"“USHA SANKUL”, OAK BAUG, VALI PEER 
ROAD, KALYAN (W)-421301",0251-2219002,KALYAN,THANE,MAHARASHTRA
KJSB0000010,The Kalyan Janata Sahakari Bank Ltd,KJSB0000010,400367010,ADHARWADI,"GHODAKE SANKUL, ADHARWADI CHOWK, 
KALYAN (W) 421 301",0251-2219004,KALYAN,THANE,MAHARASHTRA
KJSB0000011,The Kalyan Janata Sahakari Bank Ltd,KJSB0000011,400367011,GHATKOPAR,"309, TRIKAL CO-OP. HSG SOC., 90 FT. ROAD,
PANT NAGAR, GHATKOPAR (E)",0251-2219030,MUMBAI,MUMBAI,MAHARASHTRA
KJSB0000012,The Kalyan Janata Sahakari Bank Ltd,KJSB0000012,400367012,KHADAKPADA,"VASUNDHARA ARCHADE, OPP. SHRI COMPLEX, PH-4, GODREJ HILL ROAD, KHADAKPADA, KALYAN (WEST) 421 301",0251-2219002,KALYAN,THANE,MAHARASHTRA
KJSB0000013,The Kalyan Janata Sahakari Bank Ltd,KJSB0000013,400367013,BADLAPUR EXT.,"ADARSHA VIDYA MANDIR, KULGAON, 
BADLAPUR (E)",0251-2219004,ULHASNAGAR,THANE,MAHARASHTRA
KJSB0000014,The Kalyan Janata Sahakari Bank Ltd,KJSB0000014,400367014,ULHASNAGAR -1 EXT.,"MAHARASHTRA MITRA MANDAL, BEHIND S.T. 
STAND, ULHASNAGAR – 421 001",0251-2219030,ULHASNAGAR,THANE,MAHARASHTRA
KJSB0000015,The Kalyan Janata Sahakari Bank Ltd,KJSB0000015,NONMICR,ULHASNAGAR-2,"SHOP NO. 2 & 3, SHIVSHAKTI COMPLEX, 
ULHASNAGAR - 421 002",0251-2219030,THANE,THANE,MAHARASHTRA
KJSB0000016,The Kalyan Janata Sahakari Bank Ltd,KJSB0000016,NONMICR,THANE(W),"SHOP NO. 2 (PART),3&4, HORIZON TOWER,HARINIWAS CIRCLE,PANCHPAKHADI,THANE (W) 
ULHASNAGAR - 421 002",022-25337296,THANE,THANE,MAHARASHTRA
KJSB0000018,The Kalyan Janata Sahakari Bank Ltd,KJSB0000018,400-367-018,"KHARGHAR, NAVI MUMBAI ","SHOP NO. 1, A WING, NEELAM HEIGHTS,PLOT NO 139, SECTOR 13, KHARGHAR, NAVI MUMBAI-410210 ",022-27746915,PANVEL,RAIGAD,MAHARASHTRA
KJSB0000019,The Kalyan Janata Sahakari Bank Ltd,KJSB0000019,NON MICR,MUMBAI,"SHOP NO 1 TO 4, GR. FLR., SUNSHINE PLAZA, NAIGAON CROSS ROAD, DADAR ( EAST), MUMBAI 400014",022-24156501,MUMBAI,MUMBAI,MAHARASHTRA
KJSB0000201,The Kalyan Janata Sahakari Bank Ltd,KJSB0000201,NON-MICR,WADA,"“PATKAR SADAN”, AT & POST WADA, TAL. 
WADA, DIST. THANE",0251-2219002,WADA,THANE,MAHARASHTRA
KJSB0000202,The Kalyan Janata Sahakari Bank Ltd,KJSB0000202,NON-MICR,MURBAD,"“GURUPRASAD”, SHIVAJI CHOWK, MURBAD",0251-2219004,MURBAD,THANE,MAHARASHTRA
KJSB0000203,The Kalyan Janata Sahakari Bank Ltd,KJSB0000203,415-367-002,SATARA MAIN,"177, BHAVANI PETH, RAJPATH ,OPP. CITY POST OFFICE, SATARA-415002",02162-232611,SATARA,SATARA,MAHARASHTRA
KJSB0000207,The Kalyan Janata Sahakari Bank Ltd,KJSB0000207,NON-MICR,KARAD,"NAV DURGA COMPLEX""A"", PLOT NO. 42,43,VIJAPUR ROAD, SHANIVAR PETH, KARAD- 415110",02164-225231,KARAD,SATARA,MAHARASHTRA
