ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT,CITY,DISTRICT,STATE
NMCB0000001,The Nasik Merchants Co-Op Bank Ltd,NMCB0000001,422 369 018,ADMINISTRATIVE OFFICE,"A/16, M.I.D.C. AREA, PADMSHREE BABUBHAI RATHI CHOWK,SATPUR,  NASHIK  422007",0253- 2308200-06; MR. SHIRSAT D.C.,NASHIK,NASIK,MAHARASHTRA
NMCB0000002,The Nasik Merchants Co-Op Bank Ltd,NMCB0000002,422 369 002,DHANVARDHINI,"""DHANVARDHINI"" ,TILAK PATH, OPP. NEHARU GARDEN, NASHIK 422001",0253-  2308217-19; MR. KULKARNI S.S.,NASHIK,NASIK,MAHARASHTRA
NMCB0000003,The Nasik Merchants Co-Op Bank Ltd,NMCB0000003,422 369 003,MORNING EVENING,"430/11 ,  SHRIRAMWADI, M.G.ROAD,  NASHIK 422001",0253-  2308221-22; MRS. SHAH P.D.,NASHIK,NASIK,MAHARASHTRA
NMCB0000004,The Nasik Merchants Co-Op Bank Ltd,NMCB0000004,422 369 004,SATPUR (I.E.),"A/16, M.I.D.C. AREA, PADMSHREE BABUBHAI RATHI CHOWK,SATPUR,  NASHIK  422007",0253-  2308223; MR. LUNKAD A.P.,NASHIK,NASIK,MAHARASHTRA
NMCB0000005,The Nasik Merchants Co-Op Bank Ltd,NMCB0000005,422 369 005,PANCHAWATI,"KRISHNAJI JOSHI COMPLEX, NEAR PANCHAVATI KARANJA,PANCHAVATI, NASHIK  422003",0253-  2512996; 0253-511844; MR. AHIRE B.N.,NASHIK,NASIK,MAHARASHTRA
NMCB0000006,The Nasik Merchants Co-Op Bank Ltd,NMCB0000006,422 369 006,TILAKWADI,"L-3, G-3, SUYOJIT TRADE CENTRE, OPP. RAJIV GANDHI BHAVAN,SHARANPUR ROAD, NASHIK 422002",0253- 2308224;0253-2308225; MRS. KSHIRASAGAR R.A.,NASHIK,NASIK,MAHARASHTRA
NMCB0000007,The Nasik Merchants Co-Op Bank Ltd,NMCB0000007,422 369 007,BHADRAKALI,"BHADRAKALI MANDIR, BHADRAKALI ROAD, NASHIK 422001",0253- 2308226-7; MR. KHABIYA V.J.,NASHIK,NASIK,MAHARASHTRA
NMCB0000008,The Nasik Merchants Co-Op Bank Ltd,NMCB0000008,N A,SAYKHEDA,"""DHANLAXMI"",  A/P. SAYKHEDA, TAL.NIPHAD, DIST.- NASHIK 422210",02550-232074; 02550-232774; MR. ZAWAR R.R.,SAIKHEDA,NASIK,MAHARASHTRA
NMCB0000009,The Nasik Merchants Co-Op Bank Ltd,NMCB0000009,422 369 008,GANDHINAGAR,"19 & 20., SHOPPING CENTRE, GANDHINAGAR, NASHIK 422006",0253- 2414311; MR. KANKARIYA R.C.,NASHIK,NASIK,MAHARASHTRA
NMCB0000010,The Nasik Merchants Co-Op Bank Ltd,NMCB0000010,N A,TRIMBAKESHWAR,"SANT NIWAS, LATE MURLIDHAR PAWAR  CHOWK,  PATIL LANE,PRIYADARSHANI INDIRA GANHI PATH, A/P TRIMBAKESHWAR DIST - NASHIK  422212",02594-233155; MR. BHALERAO K.S.,TRIMBAK,NASIK,MAHARASHTRA
NMCB0000011,The Nasik Merchants Co-Op Bank Ltd,NMCB0000011,422 369 009,CIDCO,"SHOPPING CENTRE,CIDCO AREA,  SHIVAJI CHOWK, OLD CIDCO, NASHIK 422009",0253- 2392319; MR. PAWAR M.A.,NASHIK,NASIK,MAHARASHTRA
