ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT,CITY,DISTRICT,STATE
SRCB0000001,The Saraswat Cooperative Bank Ltd,SRCB0000001,,CLEARING BRANCH,"CITY ICE BUILDING, 3RD FLOOR, PERIN NARIMAN STREET, FORT, MUMBAI - 400 001.","022-22631332, 22631334, 22662455",MUMBAI,GREATER BOMBAY,MAHARASHTRA
SRCB0000002,The Saraswat Cooperative Bank Ltd,SRCB0000002,400088029,GIRGAUM,"MADHUKOSH, S.V. SOVANI PATH, GIRGAUM, MUMBAI - 400 004.","022-23822071, 23829381",MUMBAI,GREATER BOMBAY,MAHARASHTRA
SRCB0000003,The Saraswat Cooperative Bank Ltd,SRCB0000003,400088006,CHEMBUR,"SHRI SUNDER C.H.S. LTD., PLOT NO. 560, SION TROMBAY ROAD, CHEMBUR, MUMBAI - 400 071.","022-25222616, 25224454",MUMBAI,GREATER BOMBAY,MAHARASHTRA
SRCB0000004,The Saraswat Cooperative Bank Ltd,SRCB0000004,400088007,DADAR,"FRAMROSE COURT, DADASAHEB PHALKE ROAD, DADAR (E), MUMBAI - 400 014.","022-24106869, 24106870",MUMBAI,GREATER BOMBAY,MAHARASHTRA
SRCB0000005,The Saraswat Cooperative Bank Ltd,SRCB0000005,400088011,GOREGAON (W),"PRATIKSHA APARTMENT, OPP. FILMISTAN STUDIO, S.V. ROAD, GOREGAON (W), MUMBAI - 400 062.","022-28720962, 28721510",MUMBAI,GREATER BOMBAY,MAHARASHTRA
SRCB0000006,The Saraswat Cooperative Bank Ltd,SRCB0000006,400088015,MADHUKENDRA,"MADHUKENDRA, OFF. N.C. KELKAR ROAD, KOLSA GALLI, DADAR, MUMBAI - 400 028.","022-24302190, 24307645",MUMBAI,GREATER BOMBAY,MAHARASHTRA
SRCB0000007,The Saraswat Cooperative Bank Ltd,SRCB0000007,400088017,MAHIM,"G.S.B. TEMPLE BUILDING, SITALADEVI TEMPLE ROAD, MAHIM, MUMBAI - 400 016.","022-24453328, 24468864",MUMBAI,GREATER BOMBAY,MAHARASHTRA
SRCB0000008,The Saraswat Cooperative Bank Ltd,SRCB0000008,400088025,VILE PARLE,"PHATAK BLDG., 66 NEHRU ROAD, VILE PARLE (E), MUMBAI - 400 057.","022-26110471, 26133303",MUMBAI,GREATER BOMBAY,MAHARASHTRA
SRCB0000009,The Saraswat Cooperative Bank Ltd,SRCB0000009,400088026,WADALA,"86, USHA, R.A. KIDWAI ROAD, WADALA, MUMBAI - 400 031.",022-24183696,MUMBAI,GREATER BOMBAY,MAHARASHTRA
SRCB0000010,The Saraswat Cooperative Bank Ltd,SRCB0000010,400088027,WORLI,"KANCHWALA BUILDING, OPP. PASSPORT OFFICE, DR. A.B. ROAD, WORLI, MUMBAI - 400 018.","022-24223340, 24224053",MUMBAI,GREATER BOMBAY,MAHARASHTRA
