ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT,CITY,DISTRICT,STATE
CLBL0000002,Capital Local Area Bank Ltd,CLBL0000002,NIL,SAMRAI,"NEAR BUS STAND, V. & P.O. SAMRAI-144032, DISTT. JALANDHAR ",01826-275880,SAMRAI,JALANDHAR,PUNJAB
CLBL0000003,Capital Local Area Bank Ltd,CLBL0000003,144 545 712,PHAGWARA,"14-A, MODEL TOWN, G.T. ROAD, PHAGWARA - 144401, DISTT. KAPURTHALA",01824-500602,PHAGWARA,KAPURTHALA,PUNJAB
CLBL0000004,Capital Local Area Bank Ltd,CLBL0000004,146 545 002,HOSHIARPUR,"204-L, MODEL TOWN, BUS STAND ROAD, HOSHIARPUR -146001",01882-520314,HOSHIARPUR,HOSHIARPUR,PUNJAB
CLBL0000005,Capital Local Area Bank Ltd,CLBL0000005,NIL,MAHILPUR,"MAIN ROAD, NEAR BUS STAND, MAHILPUR-146105, DISTT. HOSHIARPUR ",01884-500836,MAHALPUR,HOSHIARPUR,PUNJAB
CLBL0000006,Capital Local Area Bank Ltd,CLBL0000006,NIL,MEHATPUR,"MAIN ROAD, NEAR BUS STAND, MEHATPUR-144041, DISTT. JALANDHAR ","01821-250004, ",MAHATPUR,JALANDHAR,PUNJAB
CLBL0000007,Capital Local Area Bank Ltd,CLBL0000007,144 545 102,KAPURTHALA,"JALANDHAR ROAD, NEAR BUS STAND, KAPURTHALA-144601",01822-502829,KAPURTHALA,KAPURTHALA,PUNJAB
CLBL0000008,Capital Local Area Bank Ltd,CLBL0000008,NIL,MALSIAN,"SHAHKOT ROAD, NEAR BUS STAND, MALSIAN - 144701, DISTT. JALANDHAR ",01821-502744,MALSIAN,JALANDHAR,PUNJAB
CLBL0000009,Capital Local Area Bank Ltd,CLBL0000009,144 545 302,GORAYA,"G.T. ROAD, GORAYA-144409, DISTT. JALANDHAR ",01826-501893,GORAYA,JALANDHAR,PUNJAB
CLBL0000010,Capital Local Area Bank Ltd,CLBL0000010,144 545 602,NURMAHAL,"MAIN ROAD, NURMAHAL - 144039, DISTT. JALANDHAR",01826-503307,NURMAHAL,JALANDHAR,PUNJAB
CLBL0000011,Capital Local Area Bank Ltd,CLBL0000011,NIL,SHANKAR,"NEAR BUS STAND, V. & P.O. SHANKAR - 144042, TEHSIL NAKODAR, DISTT. JALANDHAR ",01821-246489,SHANKER,JALANDHAR,PUNJAB
CLBL0000012,Capital Local Area Bank Ltd,CLBL0000012,NIL,RURKI,"MAIN CHOWK, V. & P.O. RURKI-141305, TEHSIL PHILLAUR, DISTT. JALANDHAR ",01826-276363,ROURKA KALAN,JALANDHAR,PUNJAB
CLBL0000013,Capital Local Area Bank Ltd,CLBL0000013,144 545 002,JALANDHAR,"36, G.T. ROAD, JALANDHAR-144001 ",0181-5050603,JALANDHAR,JALANDHAR,PUNJAB
CLBL0000014,Capital Local Area Bank Ltd,CLBL0000014,144 545 977,BHOGPUR,"G.T. ROAD, BHOGPUR -144201, DISTT. JALANDHAR ",0181-5060280,BHOGPUR,JALANDHAR,PUNJAB
CLBL0000015,Capital Local Area Bank Ltd,CLBL0000015,NIL,LOHIAN,"MAIN ROAD, LOHIAN-144629, TEHSIL SHAHKOT, DISTT. JALANDHAR ",01821-501584,LOHIAN KHAS,JALANDHAR,PUNJAB
CLBL0000016,Capital Local Area Bank Ltd,CLBL0000016,144 545 987,BEGOWAL,"MAIN ROAD, OPP. BUS STAND, V.& P.O. BEGOWAL-144621, TEHSIL BHOLATH, DISTT. KAPURTHALA ",01822-502370,BEGOWAL,KAPURTHALA,PUNJAB
CLBL0000017,Capital Local Area Bank Ltd,CLBL0000017,NIL,JANDIALA,"NEAR BUS STAND, JALANDHAR ROAD, V. &P.O. JANDIALA - 144031, TEHSIL PHILLAUR, DISTT. JALANDHAR ",01826-274004,JUNDIALA,JALANDHAR,PUNJAB
CLBL0000018,Capital Local Area Bank Ltd,CLBL0000018,144 545 902,SHAHKOT,"MOGA ROAD, NEAR GRAIN MARKET, SHAHKOT-144702, DISTT. JALANDHAR ",01821-503457,SHAHKOT,JALANDHAR,PUNJAB
CLBL0000019,Capital Local Area Bank Ltd,CLBL0000019,144 545 612,SULTANPUR LODHI,"NEAR SHAHEED UDHAM SINGH CHOWK, KAPURTHALA ROAD, SULTANPUR LODHI - 144626, DISTT. KAPURTHALA ",01828-502000,SULTANPUR LODHI,KAPURTHALA,PUNJAB
