ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT,CITY,DISTRICT,STATE
GGBK0000001,Gurgaon Gramin Bank Ltd,GGBK0000001,110025279,HEAD OFFICE GURGAON,"PRAGATI BHAWAN,P36, SECTOR 44, GURGAON",9310898326,GURGAON,GURGAON,HARYANA
GGBK0001101,Gurgaon Gramin Bank Ltd,GGBK0001101,,ABHEYPUR,"VPO :DAMDAMA, DISTRICT GURGAON, HARYANA",0124-2363503,ABHEYPUR,GURGAON,HARYANA
GGBK0001102,Gurgaon Gramin Bank Ltd,GGBK0001102,,AHARWAN,VPO:AHERWAN,01275-270302,AHARWAN,FARIDABAD,HARYANA
GGBK0001103,Gurgaon Gramin Bank Ltd,GGBK0001103,,AKODA,"VPO:AKODA,DISTRICT-MAHENDERGARH,STATE-HARYANA,PINCODE-123029.",01285-230505,AKODA,MAHENDRAGARH,HARYANA
GGBK0001104,Gurgaon Gramin Bank Ltd,GGBK0001104,,ALDUKA,"VILL. ALDUKA, PO:KURTHALA",01267-272128,ALDUKA,GURGAON,HARYANA
GGBK0001105,Gurgaon Gramin Bank Ltd,GGBK0001105,,ALIKA,"VPO:ALLIKA,DISTRICT-PALWA,STATE-HARYANA.PINCODE-121002.",01275-276427,ALIKA,FARIDABAD,HARYANA
GGBK0001106,Gurgaon Gramin Bank Ltd,GGBK0001106,,AURANGABAD,VPO:AURANGABAD,01275-263648,AURANGABAD,FARIDABAD,HARYANA
GGBK0001107,Gurgaon Gramin Bank Ltd,GGBK0001107,,BACHHOD,"VPO:BACHHOD, DISTRICT MAHENDERGARH, HARYANA",01282-248441,BACHHOD,MAHENDRAGARH,HARYANA
GGBK0001108,Gurgaon Gramin Bank Ltd,GGBK0001108,,BADED,VPO:BADED,9416577241/ 9050024640,BADED,GURGAON,HARYANA
GGBK0001109,Gurgaon Gramin Bank Ltd,GGBK0001109,,BADOLI,"GURGAON GRAMIN BANK.VPO:BADOLI,DISTRICT-PALWAL,STATE-HARYANA.PINCODE-121102.",01275-267375,BADOLI,FARIDABAD,HARYANA
